iter	MultiClass
0	1.343462816
1	1.298681701
2	1.256550615
3	1.227311611
4	1.196501609
5	1.159380354
6	1.128766346
7	1.094822474
8	1.069073404
9	1.040013276
10	1.017185277
11	0.9940876472
12	0.9766023507
13	0.9588696901
14	0.9359831772
15	0.9159652893
16	0.8978130987
17	0.8811423857
18	0.8642456912
19	0.8473230867
20	0.830841908
21	0.8187565999
22	0.8045338668
23	0.7924177051
24	0.785139491
25	0.7726864778
26	0.76239069
27	0.7526844029
28	0.7433979095
29	0.7349738957
30	0.7263466167
31	0.7165550146
32	0.708349148
33	0.6992558729
34	0.6905609554
35	0.6835532495
36	0.675668476
37	0.6687557174
38	0.6617217133
39	0.6533532063
40	0.646109147
41	0.6388421361
42	0.6309661055
43	0.6224435497
44	0.6199506054
45	0.6142144538
46	0.6087950065
47	0.6044515676
48	0.5978988627
49	0.5921872741
50	0.5881617024
51	0.582776626
52	0.5776142637
53	0.5707367315
54	0.5654218564
55	0.5610910111
56	0.5578106858
57	0.5530595846
58	0.5502257546
59	0.545306671
60	0.5421700503
61	0.5382712572
62	0.5330838377
63	0.5292863176
64	0.5254941893
65	0.5212779953
66	0.5180166184
67	0.5148021567
68	0.5121641001
69	0.5077219022
70	0.5037779763
71	0.5001683258
72	0.4978374472
73	0.49476298
74	0.4913884907
75	0.4884216432
76	0.4845902415
77	0.4813441489
78	0.4778676447
79	0.4756502565
80	0.4719197495
81	0.4683109997
82	0.4658022836
83	0.4632880823
84	0.4604481331
85	0.4581338477
86	0.4556893589
87	0.4515759928
88	0.449173394
89	0.4467117028
90	0.4443385458
91	0.4424047662
92	0.4397315247
93	0.4377440129
94	0.4352074269
95	0.4321731394
96	0.4293218908
97	0.4264018649
98	0.424759318
99	0.422940833
100	0.4206525684
101	0.4187709691
102	0.416520966
103	0.4139410846
104	0.4116613732
105	0.4094877038
106	0.4074693557
107	0.4054028839
108	0.4029027577
109	0.4012406516
110	0.3989132204
111	0.3969067446
112	0.3959519558
113	0.3945690348
114	0.3933695572
115	0.3908436355
116	0.3884816869
117	0.3864988341
118	0.385039136
119	0.3846906314
120	0.3825034998
121	0.3813299206
122	0.379515056
123	0.3777824323
124	0.3765449215
125	0.3744582907
126	0.3731218959
127	0.371579874
128	0.3699996687
129	0.369272751
130	0.3677538053
131	0.3658986594
132	0.3631106687
133	0.3616983262
134	0.3603312101
135	0.3589343145
136	0.3575506122
137	0.3556450908
138	0.3542889017
139	0.3526252537
140	0.3506951394
141	0.3501592442
142	0.3491478934
143	0.347394408
144	0.3456677094
145	0.3439924529
146	0.3432561623
147	0.3417484122
