Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
1,2.7648,2.1,4.8405,60.255,0.0258,22.095,0.1092,0.227,FCC
2,2.8338,2.1,4.808,60.17,0.0253,22.01,0.1076,0.227,FCC
1,2.8732,2.1,4.7755,60.085,0.0243,21.925,0.1054,0.2268,FCC
4,2.8722,2.1,4.743,60,0.0229,21.84,0.1024,0.2264,FCC
3,1.865,2.15,4.777,70.225,0.0339,18.2725,0.1337,0.2778,FCC
4,1.9335,2.15,4.7445,70.14,0.0322,18.23,0.1319,0.277,FCC
3,2.0019,2.15,4.7945,66.03,0.0329,21.301,0.1315,0.278,FCC
4,2.0741,2.15,4.762,65.945,0.0315,21.2415,0.1296,0.2775,FCC
4,2.1338,2.15,4.7295,65.86,0.0296,21.182,0.1273,0.2767,FCC
2,2.0685,2.15,4.787,63.89,0.0318,22.152,0.1295,0.2779,FCC
4,2.1839,2.15,4.722,63.72,0.0283,22.016,0.1246,0.2765,FCC
4,2.1218,2.15,4.732,57.385,0.0267,22.0435,0.1193,0.2769,FCC
1,1.2157,2.25,4.73,67.05,0.0404,21.59,0.161,0.3614,BCC+FCC
1,1.2362,2.25,4.805,60.885,0.043,24.0365,0.1613,0.3638,BCC+FCC
1,1.3878,2.25,4.74,60.715,0.0392,23.8835,0.1569,0.362,BCC+FCC
1,1.1878,2.25,4.83,58.83,0.0433,24.03,0.1611,0.3643,BCC+FCC
1,1.109,2.25,4.855,56.775,0.0434,23.6125,0.1609,0.3646,BCC+FCC
1,1.2451,2.25,4.8075,52.41,0.0408,21.213,0.1555,0.3639,BCC+FCC
1,1.0597,2.3,4.769,60.325,0.0466,24.6525,0.1731,0.401,BCC+FCC
1,0.9311,2.25,4.628,46.165,0.0485,17.6675,0.1869,0.3892,BCC+FCC
1,1.8685,2.05,4.554,59.13,0.0447,17.896,0.1695,0.2024,BCC+FCC
1,1.8072,2.05,4.579,57.075,0.0456,17.0975,0.1721,0.2054,BCC+FCC
1,1.7312,2.05,4.604,55.02,0.0465,15.888,0.1746,0.2081,BCC+FCC
1,1.8744,2.05,4.614,56.6,0.0424,17.43,0.1637,0.2021,BCC+FCC
4,3.9048,2.05,4.449,69.44,0.0203,15.64,0.0835,0.1618,FCC
1,0.9049,2.15,4.8775,51.99,0.05,21.847,0.1922,0.3199,BCC+FCC
1,0.7997,2.2,4.849,53.57,0.0556,23.704,0.2044,0.3607,BCC+FCC
1,0.8214,2.2,4.834,49.29,0.0542,20.346,0.201,0.3604,BCC+FCC
1,0.8293,2.25,4.8465,53.865,0.0522,23.468,0.1894,0.3822,BCC+FCC
1,1.247,2.1,4.833,54.02,0.0511,17.508,0.1847,0.2583,BCC+FCC
1,1.1552,2.15,4.8395,55.125,0.0509,19.6525,0.1829,0.2987,BCC+FCC
1,1.1126,2.2,4.881,55.755,0.0442,21.956,0.1647,0.3299,BCC+FCC
1,1.7808,2.05,4.7015,67.98,0.0352,17.668,0.121,0.1734,FCC
1,1.8403,2.05,4.754,68.24,0.0341,17.824,0.1192,0.1724,FCC
4,1.8984,2.05,4.679,61.56,0.0323,20.164,0.1134,0.1729,FCC
1,2.7113,1.6,4.5305,69.25,0.044,23.375,0.1675,0.2302,BCC+FCC
1,3.4137,1.55,4.523,74.26,0.0438,25.188,0.1772,0.2307,BCC+FCC
1,3.4867,1.5,4.523,75.91,0.0472,26.508,0.1835,0.2317,BCC+FCC
1,3.7784,1.6,4.527,64.925,0.0505,24.8175,0.1835,0.2805,BCC+FCC
1,3.9697,1.5,4.527,68.225,0.0551,28.4475,0.1976,0.2825,BCC+FCC
1,7.8263,1.6,4.5045,75.005,0.0478,27.594,0.186,0.2769,BCC+FCC
1,6.733,1.8,4.5085,60.72,0.0454,22.002,0.177,0.3204,BCC+FCC
1,22.8195,1.8,4.4935,67.44,0.0438,25.366,0.1794,0.3177,BCC+FCC
1,11.6705,1.7,4.501,67.38,0.0495,27.32,0.1917,0.3204,BCC+FCC
1,50.6456,1.75,4.486,72.45,0.0457,27.36,0.1811,0.3155,BCC+FCC
1,33.9586,1.85,4.4975,58.105,0.0481,22.016,0.1885,0.3599,BCC+FCC
1,5.8421,1.9,4.4675,69.895,0.0435,27.126,0.1742,0.3501,BCC+FCC
1,8.7011,1.6,4.7905,69.93,0.0469,23.987,0.1643,0.2342,BCC+FCC
1,3.6062,1.7,4.7795,65.665,0.0484,23.795,0.1696,0.2828,BCC+FCC
1,3.275,1.7,4.7645,72.385,0.0564,25.498,0.1861,0.2858,BCC+FCC
1,5.8297,1.6,4.7145,68.795,0.0579,26.925,0.1899,0.2859,BCC+FCC
1,2.2628,1.8,4.7535,68.12,0.0576,25.978,0.1907,0.3283,BCC+FCC
1,1.8584,1.9,4.6945,82.5,0.045,16.49,0.1672,0.28,BCC+FCC
1,1.8114,1.85,4.6945,84.15,0.0473,18.21,0.1724,0.2807,BCC+FCC
1,1.946,1.85,4.662,84.065,0.0451,18.261,0.1676,0.2786,BCC+FCC
1,1.823,1.75,4.662,87.365,0.0475,21.708,0.1757,0.2796,BCC+FCC
1,1.6384,1.9,4.651,81.45,0.0475,20.9,0.1757,0.3205,BCC+FCC
1,1.5122,2.1,4.6075,73.8,0.0433,22.3,0.1658,0.3556,BCC+FCC
1,1.2334,2.2,4.629,69.62,0.0465,24.252,0.175,0.3939,BCC+FCC
1,1.626,1.75,4.602,86.84,0.044,22.128,0.1759,0.2795,BCC+FCC
4,2.7349,2.05,4.742,70.915,0.0385,17.2375,0.1432,0.2782,FCC
1,7.4613,1.9,4.6995,65.615,0.0421,20.082,0.1506,0.2789,BCC+FCC
1,8.8706,1.85,4.707,63.905,0.0429,20.3745,0.1517,0.2792,BCC+FCC
1,16.1966,1.85,4.6745,63.82,0.0431,20.298,0.1527,0.2789,BCC+FCC
1,12.6514,1.75,4.6245,60.23,0.0451,19.653,0.1565,0.279,BCC+FCC
1,3.8762,2,4.6485,64.625,0.0432,21.1,0.1626,0.3217,BCC+FCC
1,1.3672,2.2,4.7125,67.395,0.043,21.107,0.1665,0.3616,BCC+FCC
1,1.1534,2.25,4.7015,64.78,0.0464,23.096,0.178,0.3991,BCC+FCC
1,0.9806,2.25,4.664,66.11,0.0461,22.736,0.1846,0.3743,BCC+FCC
1,1.6229,2.05,4.634,71.495,0.0459,15.027,0.1829,0.2017,BCC+FCC
4,2.8848,2.05,4.5315,78.26,0.0246,5.062,0.1095,0.1652,FCC
1,0.6782,2.4,4.238,44.73,0.0273,20.996,0.1485,0.4186,BCC+FCC
4,1.9217,1.6,4.6775,60.905,0.0301,19.776,0.1076,0.0664,FCC
4,1.8119,1.55,4.685,59.195,0.0316,18.9135,0.108,0.0652,FCC
4,2.0456,1.6,4.7025,58.85,0.0292,19.155,0.1054,0.0648,FCC
4,1.9245,1.55,4.71,57.14,0.0305,17.916,0.1055,0.063,FCC
2,2.343,1.65,4.72,58.505,0.0264,19.3965,0.1022,0.0644,FCC
4,2.7504,1.7,4.7375,58.16,0.0234,19.638,0.0984,0.064,FCC
4,2.4459,1.65,4.745,56.45,0.0257,18.33,0.1001,0.0623,FCC
4,42.8216,1.75,4.95,69.325,0.0266,24.6525,0.1147,0.0702,FCC
4,99.461,1.8,4.975,65.62,0.0224,23.84,0.0977,0.0584,FCC
4,6.6512,1.85,4.8025,80.88,0.0298,12.144,0.1124,0.0783,FCC
4,6.2342,1.8,4.77,82.445,0.0309,13.275,0.1208,0.0821,FCC
3,6.7718,1.85,4.8275,78.825,0.0297,15.37,0.112,0.0783,FCC
3,7.1179,1.85,4.795,78.74,0.0286,15.336,0.1102,0.0779,FCC
4,5.5541,1.8,4.86,80.56,0.0338,16.064,0.1244,0.0836,FCC
3,5.9058,1.8,4.8275,80.475,0.0329,16.03,0.1229,0.0834,FCC
3,6.2662,1.8,4.795,80.39,0.0315,15.996,0.1208,0.0828,FCC
3,5.5942,1.75,4.795,82.04,0.0344,16.926,0.1303,0.0873,FCC
4,5.9841,1.75,4.7625,81.955,0.0322,16.895,0.1273,0.086,FCC
3,7.839,1.9,4.885,75.205,0.0258,17.4025,0.0991,0.0711,FCC
4,8.1308,1.9,4.8525,75.12,0.0259,17.36,0.0986,0.072,FCC
3,6.471,1.85,4.885,76.855,0.0296,18.2275,0.1123,0.0774,FCC
4,7.5229,1.85,4.7875,76.6,0.0274,18.1,0.1077,0.0776,FCC
4,5.8562,1.8,4.8525,78.42,0.0328,19.01,0.1225,0.0833,FCC
