Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
2,19.839,1.8,4.845,70.78,0.0287,23.614,0.1126,0.077,FCC
3,24.8466,1.8,4.8125,70.695,0.0283,23.546,0.1115,0.0775,FCC
3,34.235,1.8,4.78,70.61,0.0275,23.478,0.1097,0.0775,FCC
4,1170.88,1.75,4.885,69.155,0.0285,24.4995,0.1165,0.0747,FCC
1,77.8122,1.75,4.8525,69.07,0.0292,24.423,0.1166,0.0761,FCC
2,38.5278,1.75,4.82,68.985,0.0295,24.3465,0.1163,0.0771,FCC
2,24.5194,1.75,4.7875,68.9,0.0292,24.27,0.1154,0.0776,FCC
3,17.1805,1.75,4.755,68.815,0.0285,24.1935,0.114,0.0776,FCC
4,10.2205,1.7,4.795,67.19,0.0302,24.72,0.1197,0.0772,FCC
2,9.9429,1.75,4.91,72.6,0.0322,25.07,0.1254,0.0809,FCC
2,11.622,1.75,4.8775,72.515,0.0326,25.002,0.1249,0.082,FCC
1,13.6363,1.75,4.845,72.43,0.0324,24.934,0.1239,0.0826,FCC
3,16.3655,1.75,4.8125,72.345,0.0318,24.866,0.1224,0.0829,FCC
4,99.8763,1.7,4.8525,70.72,0.0332,25.908,0.1282,0.0821,FCC
3,12.2995,1.7,4.8125,73.995,0.0352,26.186,0.1322,0.0878,FCC
4,14.9703,1.7,4.78,73.91,0.0338,26.118,0.1298,0.0873,FCC
2,86.9361,1.9,4.9675,65.68,0.0191,22.062,0.0792,0.0527,FCC
1,112.5587,1.9,4.935,65.595,0.0192,21.9855,0.0811,0.0564,FCC
2,197.6537,1.9,4.9025,65.51,0.0188,21.909,0.0823,0.0594,FCC
3,12114.6863,1.9,4.87,65.425,0.0197,21.8325,0.0829,0.0618,FCC
2,148.4291,1.9,4.8375,65.34,0.0203,21.756,0.0828,0.0635,FCC
1,19.5045,1.85,4.9425,63.885,0.0203,22.105,0.0825,0.0527,FCC
3,17.6087,1.85,4.91,63.8,0.0205,22.02,0.0846,0.0565,FCC
1,15.5029,1.85,4.8775,63.715,0.0202,21.935,0.0861,0.0595,FCC
3,13.4099,1.85,4.845,63.63,0.0204,21.85,0.087,0.0619,FCC
1,11.4319,1.85,4.8125,63.545,0.0211,21.765,0.0872,0.0636,FCC
2,9.3261,1.8,4.9175,62.09,0.0215,21.789,0.0854,0.0528,FCC
3,8.578,1.8,4.885,62.005,0.0218,21.6955,0.0878,0.0566,FCC
4,7.7407,1.8,4.8525,61.92,0.0217,21.602,0.0895,0.0596,FCC
2,6.8733,1.8,4.82,61.835,0.0211,21.5085,0.0907,0.062,FCC
2,6.2476,1.75,4.8925,60.295,0.0227,21.114,0.0881,0.0529,FCC
3,5.1752,1.75,4.8275,60.125,0.0231,20.91,0.0927,0.0597,FCC
1,4.5867,1.75,4.795,60.04,0.0226,20.808,0.0941,0.0621,FCC
3,3.9698,1.75,4.7625,59.955,0.0227,20.706,0.095,0.0639,FCC
2,3.8374,1.7,4.8025,58.33,0.0245,19.859,0.0956,0.0598,FCC
3,3.3486,1.7,4.77,58.245,0.0241,19.7485,0.0972,0.0622,FCC
3,20.1641,1.85,4.9675,67.33,0.0217,23.547,0.0968,0.062,FCC
3,23.4538,1.85,4.935,67.245,0.0217,23.4705,0.0979,0.065,FCC
2,27.8655,1.85,4.9025,67.16,0.023,23.394,0.0985,0.0674,FCC
2,34.8568,1.85,4.87,67.075,0.0238,23.3175,0.0985,0.0692,FCC
4,40.356,1.8,4.91,65.45,0.0228,23.67,0.1011,0.0651,FCC
3,29.3015,1.8,4.8775,65.365,0.0235,23.585,0.1019,0.0675,FCC
4,17.1539,1.8,4.8125,65.195,0.0249,23.415,0.102,0.0706,FCC
4,11.6869,1.75,4.885,63.655,0.0241,23.5105,0.104,0.0652,FCC
4,10.134,1.75,4.8525,63.57,0.0241,23.417,0.1051,0.0676,FCC
4,8.7083,1.75,4.82,63.485,0.0251,23.3235,0.1057,0.0694,FCC
1,13.1747,1.8,4.935,68.895,0.0263,24.9555,0.112,0.0725,FCC
4,15.4206,1.8,4.9025,68.81,0.0273,24.879,0.1122,0.0744,FCC
1,4.1811,1.55,4.5605,64.955,0.0463,23.145,0.1922,0.1617,BCC+FCC
4,5.9681,1.7,4.679,59.36,0.0331,21.012,0.1437,0.1233,FCC
4,3.628,1.6,4.66,60.595,0.0385,20.024,0.1789,0.0653,FCC
4,8.6943,1.75,4.7175,59.25,0.0375,19.86,0.2047,0.2102,FCC
4,4.4929,1.65,4.675,57.4,0.0376,17.76,0.1514,0.1075,FCC
3,3.1849,1.65,4.685,58.98,0.0322,19.064,0.13,0.0894,FCC
4,23.3152,1.75,4.675,57.185,0.039,17.889,0.162,0.1214,FCC
4,8.8711,1.75,4.685,58.765,0.0341,19.2145,0.1439,0.1066,FCC
4,6.228,1.7,4.6925,57.055,0.0358,17.967,0.1477,0.1071,FCC
2,3.995,1.7,4.7025,58.635,0.0304,19.3055,0.1263,0.089,FCC
3,3.4289,1.65,4.71,56.925,0.0309,18.045,0.1287,0.0886,FCC
3,30.5567,1.8,4.6925,56.84,0.037,18.096,0.1569,0.121,FCC
1,2.5734,1.45,4.465,69.665,0.0482,20.8185,0.1604,0.0919,BCC+FCC
4,3.7616,1.7,4.635,67.51,0.0292,21.639,0.1155,0.0748,FCC
2,5.4863,1.7,4.6275,70.87,0.0286,22.306,0.1197,0.0779,FCC
4,10.5063,1.7,4.62,74.23,0.0267,22.301,0.1205,0.0795,FCC
4,3.5883,1.75,4.66,63.805,0.0263,20.645,0.1025,0.0696,FCC
2,5.3423,1.75,4.6525,67.165,0.0267,22.0185,0.1091,0.0742,FCC
1,4.0871,1.7,4.66,65.455,0.0292,22.295,0.1149,0.0752,FCC
2,10.3937,1.75,4.645,70.525,0.0258,22.72,0.112,0.0772,FCC
4,416.8541,1.75,4.6375,73.885,0.025,22.7495,0.111,0.0787,FCC
2,4.9495,1.8,4.6775,63.46,0.024,20.99,0.0961,0.069,FCC
2,3.8534,1.75,4.685,61.75,0.0256,20.725,0.1014,0.0693,FCC
2,9.6595,1.8,4.67,66.82,0.0242,22.398,0.1015,0.0736,FCC
2,5.8438,1.75,4.6775,65.11,0.0269,22.64,0.1087,0.0747,FCC
4,4.4075,1.7,4.685,63.4,0.0288,22.54,0.1141,0.0752,FCC
2,947.4563,1.8,4.6625,70.18,0.0231,23.134,0.1028,0.0765,FCC
2,12.1123,1.75,4.67,68.47,0.0268,23.883,0.1124,0.0784,FCC
4,108.2005,1.9,4.6675,64.65,0.0203,21.135,0.0835,0.0702,FCC
2,8.3906,1.85,4.695,63.115,0.0217,21.335,0.0886,0.0685,FCC
1,5.3288,1.8,4.7025,61.405,0.0236,21.0355,0.0953,0.0688,FCC
2,4.1046,1.75,4.71,59.695,0.0248,20.394,0.1002,0.0685,FCC
2,10.9366,1.8,4.695,64.765,0.0246,22.985,0.1015,0.0741,FCC
2,6.356,1.75,4.7025,63.055,0.0268,22.8505,0.1082,0.0747,FCC
4,14.2315,1.75,4.695,66.415,0.0274,24.635,0.1126,0.0792,FCC
4,12.2242,1.6,4.8625,65.335,0.0339,22.3385,0.1354,0.0891,FCC
4,25.8257,1.6,4.855,68.695,0.0378,23.895,0.1474,0.0963,FCC
4,12.0086,1.75,4.895,63.555,0.0339,20.8105,0.1436,0.1039,FCC
3,15.3464,1.7,4.8975,70.145,0.0358,23.7505,0.1432,0.096,FCC
4,175.5654,1.65,4.8725,68.35,0.0363,24.24,0.1453,0.0961,FCC
3,7.6555,1.8,4.9125,63.21,0.0321,21.121,0.1415,0.1037,FCC
1,8.1577,1.75,4.915,69.8,0.0349,24.13,0.1403,0.0958,FCC
2,5.3132,1.85,4.93,62.865,0.031,21.4315,0.139,0.1035,FCC
1,8.2693,1.8,4.905,61.07,0.0314,20.834,0.1411,0.1036,FCC
4,16.1623,1.75,4.88,59.275,0.0321,19.8775,0.1431,0.1037,FCC
4,3.8154,1.9,4.9475,62.52,0.0303,21.742,0.136,0.1033,FCC
4,19.265,1.75,4.8725,57.135,0.0313,18.769,0.1427,0.1035,FCC
1,5.6943,1.85,4.7225,71.055,0.0353,17.013,0.121,0.0836,FCC
1,4.1654,1.9,4.74,70.71,0.0336,17.496,0.1161,0.0832,FCC
1,10.7483,1.8,4.69,67.12,0.0352,19.306,0.1229,0.0835,FCC
1,4.4099,1.9,4.7325,68.57,0.0328,19.029,0.1143,0.083,FCC
1,6.5493,1.85,4.655,66.515,0.0349,19.512,0.1205,0.0856,FCC
1,6.7665,1.85,4.7075,66.775,0.0336,19.72,0.118,0.0831,FCC
1,4.4414,1.9,4.6725,66.17,0.033,19.926,0.1141,0.0852,FCC
1,37.067,1.5,4.698,50.74,0.0484,15.478,0.1923,0.1661,BCC+FCC
1,9.0339,1.6,4.688,51.93,0.0486,17.728,0.1907,0.1671,BCC+FCC
2,6.9364,1.85,4.865,79.37,0.0367,15.588,0.1625,0.0834,FCC
4,8.2413,1.9,4.89,75.665,0.0328,17.6325,0.153,0.0747,FCC
3,8.5345,1.9,4.8575,75.58,0.0323,17.59,0.1525,0.077,FCC
3,6.97,1.85,4.89,77.315,0.0365,18.4575,0.162,0.0814,FCC
2,7.3196,1.85,4.8575,77.23,0.0358,18.415,0.1611,0.0833,FCC
4,7.6797,1.85,4.825,77.145,0.0345,18.3725,0.1599,0.0847,FCC
1,8.3488,1.9,4.915,73.61,0.032,19.926,0.1522,0.0719,FCC
4,8.6475,1.9,4.8825,73.525,0.0319,19.875,0.1518,0.0746,FCC
3,8.9593,1.9,4.85,73.44,0.0313,19.824,0.1511,0.0768,FCC
4,9.3006,1.9,4.8175,73.355,0.0303,19.773,0.1499,0.0785,FCC
1,6.9165,1.85,4.915,75.26,0.0361,20.916,0.1613,0.079,FCC
1,7.2872,1.85,4.8825,75.175,0.0357,20.865,0.1607,0.0813,FCC
2,7.6517,1.85,4.85,75.09,0.0348,20.814,0.1596,0.0831,FCC
4,8.028,1.85,4.8175,75.005,0.0334,20.763,0.1581,0.0845,FCC
4,8.3672,1.9,4.94,71.555,0.031,21.8085,0.1512,0.0685,FCC
3,8.9996,1.9,4.875,71.385,0.0311,21.6895,0.1505,0.0745,FCC
1,6.7597,1.85,4.94,73.205,0.0354,22.9635,0.1606,0.0761,FCC
1,7.1739,1.85,4.9075,73.12,0.0354,22.904,0.1601,0.0789,FCC
3,7.5555,1.85,4.875,73.035,0.0349,22.8445,0.1593,0.0811,FCC
3,7.9304,1.85,4.8425,72.95,0.0339,22.785,0.158,0.0829,FCC
4,8.315,1.85,4.81,72.865,0.0324,22.7255,0.1563,0.0843,FCC
4,8.2692,1.9,4.965,69.5,0.0298,23.28,0.1502,0.0646,FCC
4,6.4533,1.85,4.965,71.15,0.0344,24.6,0.1597,0.0728,FCC
4,6.9607,1.85,4.9325,71.065,0.0348,24.532,0.1595,0.076,FCC
4,3.1749,1.9,4.769,78.375,0.0327,13.1025,0.1412,0.1256,FCC
4,3.114,1.9,4.8265,76.405,0.0345,16.112,0.1424,0.1268,FCC
2,3.2002,1.95,4.8515,72.7,0.0309,17.86,0.1319,0.1234,FCC
4,3.321,1.95,4.819,72.615,0.0303,17.8175,0.1311,0.1233,FCC
4,3.5377,1.9,4.754,74.095,0.0301,18.5575,0.1369,0.125,FCC
4,3.3333,1.95,4.844,70.56,0.03,19.806,0.1304,0.1232,FCC
4,3.5526,1.95,4.779,70.39,0.0279,19.704,0.1277,0.1226,FCC
3,3.0991,1.9,4.8765,72.295,0.034,20.847,0.1413,0.1266,FCC
4,3.2569,1.9,4.844,72.21,0.0334,20.796,0.1403,0.1266,FCC
4,3.4005,1.9,4.8115,72.125,0.0324,20.745,0.1389,0.1263,FCC
4,3.2988,1.85,4.8115,73.775,0.0355,21.735,0.1476,0.1295,FCC
3,3.164,1.95,4.9015,68.59,0.0293,21.443,0.1301,0.1223,FCC
1,3.3071,1.95,4.869,68.505,0.0294,21.3835,0.1297,0.1228,FCC
4,3.4321,1.95,4.8365,68.42,0.029,21.324,0.1288,0.123,FCC
3,3.5402,1.95,4.804,68.335,0.0281,21.2645,0.1274,0.1228,FCC
3,3.0252,1.9,4.9015,70.24,0.0334,22.598,0.1405,0.1261,FCC
4,3.199,1.9,4.869,70.155,0.0332,22.5385,0.1398,0.1264,FCC
3,3.3528,1.9,4.8365,70.07,0.0325,22.479,0.1386,0.1264,FCC
2,3.4897,1.9,4.804,69.985,0.0313,22.4195,0.1369,0.1261,FCC
4,3.6095,1.9,4.7715,69.9,0.0296,22.36,0.1347,0.1255,FCC
1,3.0817,1.95,4.9265,66.535,0.0281,22.618,0.129,0.1214,FCC
3,3.2429,1.95,4.894,66.45,0.0286,22.55,0.1288,0.1221,FCC
2,3.3797,1.95,4.8615,66.365,0.0286,22.482,0.1282,0.1226,FCC
4,3.4954,1.95,4.829,66.28,0.0281,22.414,0.1271,0.1228,FCC
3,3.5893,1.95,4.7965,66.195,0.0271,22.346,0.1254,0.1226,FCC
4,2.9025,1.9,4.9265,68.185,0.0325,23.938,0.1397,0.1253,FCC
3,3.1009,1.9,4.894,68.1,0.0326,23.87,0.1392,0.1259,FCC
3,3.2697,1.9,4.8615,68.015,0.0323,23.802,0.1382,0.1262,FCC
1,3.1381,1.95,4.919,64.395,0.0275,23.3055,0.1279,0.1212,FCC
2,3.2923,1.95,4.8865,64.31,0.0279,23.229,0.1275,0.122,FCC
4,3.4189,1.95,4.854,64.225,0.0277,23.1525,0.1266,0.1224,FCC
1,3.1492,1.9,4.8865,65.96,0.0319,24.714,0.1377,0.1258,FCC
4,3.5247,1.9,4.825,75.645,0.0346,14.028,0.1668,0.0651,FCC
4,3.6398,1.9,4.7925,75.56,0.0333,13.994,0.166,0.0656,FCC
4,3.452,1.85,4.825,77.295,0.0378,14.688,0.1749,0.0716,FCC
3,3.5906,1.9,4.85,73.59,0.0345,16.525,0.1662,0.0636,FCC
4,3.8267,1.9,4.785,73.42,0.0321,16.44,0.1645,0.0653,FCC
3,3.7747,1.85,4.785,75.07,0.035,17.265,0.1722,0.0715,FCC
3,3.6071,1.9,4.875,71.535,0.0341,18.611,0.1655,0.0617,FCC
4,3.7418,1.9,4.8425,71.45,0.0336,18.56,0.165,0.0634,FCC
4,3.8612,1.9,4.81,71.365,0.0325,18.509,0.1642,0.0644,FCC
4,3.4569,1.85,4.875,73.185,0.0379,19.601,0.1739,0.0691,FCC
4,3.6231,1.85,4.8425,73.1,0.037,19.55,0.1732,0.0703,FCC
4,3.7735,1.85,4.81,73.015,0.0357,19.499,0.172,0.071,FCC
3,3.5773,1.9,4.9,69.48,0.0335,20.286,0.1647,0.0592,FCC
3,3.7261,1.9,4.8675,69.395,0.0333,20.2265,0.1644,0.0615,FCC
2,3.855,1.9,4.835,69.31,0.0326,20.167,0.1638,0.0631,FCC
4,3.9654,1.9,4.8025,69.225,0.0314,20.1075,0.1627,0.0641,FCC
4,4.0558,1.9,4.77,69.14,0.0297,20.048,0.1612,0.0646,FCC
3,3.3857,1.85,4.9,71.13,0.0375,21.441,0.1733,0.0672,FCC
1,3.5699,1.85,4.8675,71.045,0.0371,21.3815,0.1727,0.0689,FCC
4,3.7317,1.85,4.835,70.96,0.0361,21.322,0.1718,0.0701,FCC
3,3.56,1.8,4.835,72.61,0.0395,22.477,0.1792,0.0763,FCC
2,3.7331,1.8,4.8025,72.525,0.0378,22.4175,0.1776,0.0766,FCC
4,3.4986,1.9,4.925,67.425,0.0326,21.55,0.1638,0.0562,FCC
1,3.6681,1.9,4.8925,67.34,0.0328,21.482,0.1637,0.059,FCC
3,3.8101,1.9,4.86,67.255,0.0325,21.414,0.1633,0.0612,FCC
4,3.9288,1.9,4.8275,67.17,0.0317,21.346,0.1624,0.0628,FCC
3,3.2594,1.85,4.925,69.075,0.0369,22.87,0.1726,0.0647,FCC
2,3.4716,1.85,4.8925,68.99,0.0368,22.802,0.1722,0.0669,FCC
1,3.6506,1.85,4.86,68.905,0.0362,22.734,0.1714,0.0686,FCC
2,3.8042,1.85,4.8275,68.82,0.0351,22.666,0.1703,0.0698,FCC
3,3.9343,1.85,4.795,68.735,0.0335,22.598,0.1687,0.0704,FCC
4,4.0375,1.85,4.7625,68.65,0.0314,22.53,0.1666,0.0705,FCC
3,3.6298,1.8,4.8275,70.47,0.0386,23.986,0.1776,0.076,FCC
2,3.7915,1.8,4.795,70.385,0.0367,23.918,0.1757,0.0763,FCC
4,3.3622,1.9,4.95,65.37,0.0315,22.403,0.1629,0.0524,FCC
4,3.5639,1.9,4.9175,65.285,0.032,22.3265,0.1629,0.056,FCC
2,3.7258,1.9,4.885,65.2,0.0321,22.25,0.1626,0.0588,FCC
3,3.8568,1.9,4.8525,65.115,0.0316,22.1735,0.162,0.061,FCC
1,3.0586,1.85,4.95,67.02,0.0361,23.888,0.1718,0.0617,FCC
1,3.3209,1.85,4.9175,66.935,0.0363,23.8115,0.1716,0.0645,FCC
3,3.5272,1.85,4.885,66.85,0.0361,23.735,0.171,0.0667,FCC
3,3.697,1.85,4.8525,66.765,0.0354,23.6585,0.17,0.0684,FCC
4,3.944,1.85,4.7875,66.595,0.0324,23.5055,0.1668,0.0701,FCC
2,3.7318,1.95,4.8725,72.935,0.0376,16.651,0.1992,0.2073,FCC
3,3.9996,1.95,4.8075,72.765,0.0354,16.549,0.1984,0.2128,FCC
4,3.7005,1.95,4.8975,70.88,0.0372,18.466,0.1985,0.2044,FCC
2,3.8563,1.95,4.865,70.795,0.0368,18.4065,0.1984,0.2074,FCC
3,3.9921,1.95,4.8325,70.71,0.0358,18.347,0.198,0.2102,FCC
4,4.1096,1.95,4.8,70.625,0.0344,18.2875,0.1972,0.2128,FCC
4,3.6188,1.95,4.9225,68.825,0.0366,19.8975,0.1977,0.2015,FCC
3,4.0705,1.95,4.825,68.57,0.0349,19.719,0.1969,0.2103,FCC
3,4.1725,1.95,4.7925,68.485,0.0333,19.6595,0.1959,0.2129,FCC
2,3.4775,1.95,4.9475,66.77,0.0358,21.096,0.1968,0.1984,FCC
2,3.6874,1.95,4.915,66.685,0.036,21.028,0.197,0.2016,FCC
4,3.9948,1.95,4.85,66.515,0.0351,20.892,0.1964,0.2076,FCC
4,4.1039,1.95,4.8175,66.43,0.0339,20.824,0.1957,0.2104,FCC
4,3.2767,1.9,4.765,80.265,0.0365,10.0595,0.1466,0.1092,FCC
3,3.0459,1.95,4.715,74.81,0.034,14.355,0.1515,0.118,FCC
4,2.9485,1.9,4.7475,76.545,0.0392,15.2225,0.1614,0.1225,FCC
3,3.3938,1.9,4.79,78.21,0.0371,13.224,0.1465,0.1102,FCC
4,3.5778,1.9,4.7575,78.125,0.0352,13.19,0.1445,0.1089,FCC
4,4.2407,1.85,4.8,81.44,0.0355,11.362,0.1363,0.0978,FCC
4,4.7266,1.85,4.735,81.27,0.0314,11.311,0.1317,0.095,FCC
4,2.6272,1.95,4.73,71.175,0.0407,17.7425,0.1677,0.1317,FCC
4,2.9385,1.95,4.7725,72.84,0.0376,16.614,0.1542,0.1209,FCC
4,3.498,1.95,4.815,74.505,0.0343,15.1525,0.1372,0.1071,FCC
4,3.8259,1.95,4.75,74.335,0.0312,15.0675,0.1337,0.1053,FCC
4,3.6241,1.9,4.7825,76.07,0.0359,15.935,0.1446,0.1099,FCC
3,4.8215,1.9,4.7925,77.65,0.0314,13.95,0.1246,0.0935,FCC
3,3.5131,1.95,4.84,72.45,0.0342,17.33,0.1367,0.1073,FCC
3,3.0813,1.95,4.765,70.7,0.0364,18.36,0.1521,0.1206,FCC
4,4.9838,1.95,4.85,74.03,0.0288,15.865,0.1141,0.0891,FCC
4,3.8553,1.95,4.775,72.28,0.0319,17.228,0.1337,0.1061,FCC
4,5.1811,1.95,4.8175,73.945,0.0283,15.8225,0.1132,0.0892,FCC
3,4.0164,1.95,4.7425,72.195,0.0299,17.177,0.1313,0.1049,FCC
4,5.3777,1.95,4.785,73.86,0.0273,15.78,0.1117,0.0888,FCC
4,5.0987,1.9,4.785,75.51,0.0302,16.605,0.1225,0.0931,FCC
4,5.3313,1.9,4.7525,75.425,0.0285,16.5625,0.1201,0.0921,FCC
3,4.2893,1.85,4.85,77.33,0.0357,17.515,0.1356,0.0983,FCC
4,5.0626,1.85,4.7525,77.075,0.0311,17.3875,0.1294,0.0959,FCC
2,3.4783,1.95,4.865,70.395,0.0338,19.0965,0.1361,0.107,FCC
2,5.0215,1.95,4.875,71.975,0.0279,17.995,0.1131,0.0884,FCC
4,5.2274,1.95,4.8425,71.89,0.0278,17.944,0.1124,0.0889,FCC
3,5.4272,1.95,4.81,71.805,0.0272,17.893,0.1112,0.0889,FCC
4,3.3382,1.9,4.865,72.045,0.0376,20.2515,0.1456,0.111,FCC
4,3.5555,1.9,4.8325,71.96,0.0367,20.192,0.1443,0.1108,FCC
2,4.6148,1.9,4.875,73.625,0.0317,18.985,0.1247,0.0934,FCC
4,3.7589,1.9,4.8,71.875,0.0354,20.1325,0.1425,0.1102,FCC
2,4.8574,1.9,4.8425,73.54,0.0313,18.934,0.1237,0.0936,FCC
3,5.0918,1.9,4.81,73.455,0.0304,18.883,0.1222,0.0934,FCC
2,4.2123,1.85,4.875,75.275,0.0354,19.975,0.1351,0.0981,FCC
3,4.4878,1.85,4.8425,75.19,0.0348,19.924,0.1339,0.0981,FCC
3,4.7512,1.85,4.81,75.105,0.0336,19.873,0.132,0.0977,FCC
3,5.0102,1.85,4.7775,75.02,0.0319,19.822,0.1297,0.0968,FCC
4,4.7045,1.8,4.7775,76.67,0.0348,20.812,0.1382,0.1006,FCC
4,3.395,1.95,4.89,68.34,0.0331,20.452,0.1353,0.1065,FCC
1,4.9985,1.95,4.9,69.92,0.0268,19.714,0.1119,0.0874,FCC
1,5.2182,1.95,4.8675,69.835,0.0271,19.6545,0.1115,0.0882,FCC
4,3.9502,1.95,4.7925,68.085,0.0311,20.248,0.1314,0.1063,FCC
2,5.424,1.95,4.835,69.75,0.0269,19.595,0.1106,0.0886,FCC
3,5.6212,1.95,4.8025,69.665,0.0262,19.5355,0.1091,0.0886,FCC
3,3.2116,1.9,4.89,69.99,0.0372,21.772,0.1451,0.1107,FCC
1,4.5282,1.9,4.9,71.57,0.0309,20.869,0.1239,0.0926,FCC
1,4.7901,1.9,4.8675,71.485,0.0308,20.8095,0.1231,0.0932,FCC
4,3.868,1.9,4.7925,69.735,0.0343,21.568,0.1403,0.1099,FCC
4,5.2672,1.9,4.8025,71.315,0.0293,20.6905,0.1201,0.0932,FCC
3,4.0664,1.85,4.9,73.22,0.0349,22.024,0.1345,0.0975,FCC
4,4.37,1.85,4.8675,73.135,0.0346,21.9645,0.1335,0.0978,FCC
2,4.6474,1.85,4.835,73.05,0.0338,21.905,0.1319,0.0978,FCC
4,4.9108,1.85,4.8025,72.965,0.0325,21.8455,0.1298,0.0974,FCC
4,5.1661,1.85,4.77,72.88,0.0307,21.786,0.1271,0.0965,FCC
3,4.5664,1.8,4.8025,74.615,0.0357,23.0005,0.1385,0.1013,FCC
1,3.2575,1.95,4.915,66.285,0.0322,21.3965,0.1345,0.1057,FCC
1,3.4865,1.95,4.8825,66.2,0.0324,21.32,0.1339,0.1063,FCC
3,4.9111,1.95,4.925,67.865,0.0255,21.022,0.1106,0.0859,FCC
3,3.6854,1.95,4.85,66.115,0.0321,21.2435,0.1329,0.1066,FCC
1,5.1536,1.95,4.8925,67.78,0.0261,20.954,0.1105,0.0872,FCC
4,3.8623,1.95,4.8175,66.03,0.0313,21.167,0.1313,0.1065,FCC
4,5.371,1.95,4.86,67.695,0.0263,20.886,0.1098,0.088,FCC
4,3.2892,1.95,4.7425,64.28,0.0328,21.03,0.1448,0.1197,FCC
4,4.0197,1.95,4.785,65.945,0.0301,21.0905,0.1292,0.1061,FCC
4,5.5716,1.95,4.8275,67.61,0.0259,20.818,0.1086,0.0884,FCC
4,4.1545,1.95,4.7525,65.86,0.0283,21.014,0.1264,0.1052,FCC
2,3.0154,1.9,4.915,67.935,0.0366,22.8815,0.1445,0.1101,FCC
4,3.2983,1.9,4.8825,67.85,0.0365,22.805,0.1436,0.1105,FCC
3,4.3703,1.9,4.925,69.515,0.0298,22.342,0.1229,0.0915,FCC
3,3.5363,1.9,4.85,67.765,0.0359,22.7285,0.1422,0.1106,FCC
1,4.6652,1.9,4.8925,69.43,0.0301,22.274,0.1224,0.0924,FCC
4,4.9261,1.9,4.86,69.345,0.03,22.206,0.1214,0.093,FCC
3,3.9378,1.9,4.785,67.595,0.0332,22.5755,0.138,0.1096,FCC
4,5.1662,1.9,4.8275,69.26,0.0294,22.138,0.1198,0.0931,FCC
4,4.1072,1.9,4.7525,67.51,0.0312,22.499,0.1349,0.1086,FCC
1,3.8305,1.85,4.925,71.165,0.0341,23.662,0.1338,0.0966,FCC
3,4.1881,1.85,4.8925,71.08,0.0342,23.594,0.133,0.0973,FCC
4,4.4918,1.85,4.86,70.995,0.0338,23.526,0.1316,0.0976,FCC
3,4.7667,1.85,4.8275,70.91,0.0329,23.458,0.1298,0.0975,FCC
3,5.0231,1.85,4.795,70.825,0.0314,23.39,0.1273,0.0971,FCC
1,3.0467,1.95,4.94,64.23,0.0311,21.93,0.1336,0.1046,FCC
1,3.3237,1.95,4.9075,64.145,0.0316,21.845,0.1332,0.1055,FCC
1,3.548,1.95,4.875,64.06,0.0317,21.76,0.1324,0.1061,FCC
3,5.0279,1.95,4.9175,65.725,0.0249,21.8425,0.1094,0.0858,FCC
4,3.0389,1.95,4.8,62.31,0.0358,21.251,0.1481,0.1214,FCC
4,3.739,1.95,4.8425,63.975,0.0313,21.675,0.131,0.1064,FCC
1,5.2666,1.95,4.885,65.64,0.0254,21.766,0.1089,0.087,FCC
4,3.1696,1.95,4.7675,62.225,0.034,21.1575,0.1454,0.1206,FCC
3,3.9031,1.95,4.81,63.89,0.0304,21.59,0.1292,0.1063,FCC
3,5.6635,1.95,4.82,65.47,0.025,21.613,0.1064,0.0881,FCC
4,4.1141,1.9,4.95,67.46,0.0285,23.404,0.1218,0.0899,FCC
3,4.4722,1.9,4.9175,67.375,0.0292,23.3275,0.1215,0.0913,FCC
2,4.7646,1.9,4.885,67.29,0.0294,23.251,0.1208,0.0922,FCC
1,5.0198,1.9,4.8525,67.205,0.0292,23.1745,0.1195,0.0927,FCC
3,5.4524,1.9,4.7875,67.035,0.0272,23.0215,0.1151,0.0926,FCC
2,3.9189,1.85,4.9175,69.025,0.0335,24.8125,0.1324,0.0964,FCC
1,4.2754,1.85,4.885,68.94,0.0335,24.736,0.1313,0.0971,FCC
4,4.5748,1.85,4.8525,68.855,0.0329,24.6595,0.1297,0.0974,FCC
1,4.8094,1.95,4.6,80.555,0.0288,5.5485,0.1079,0.0782,FCC
1,4.7367,1.95,4.6525,80.815,0.0301,5.449,0.108,0.0785,FCC
2,5.3369,1.95,4.62,80.73,0.0278,5.398,0.1048,0.0763,FCC
4,7.3969,1.95,4.4825,80.125,0.022,5.46,0.0942,0.0678,FCC
4,6.5392,1.95,4.535,80.385,0.0224,5.4295,0.0985,0.0713,FCC
1,5.5336,1.9,4.495,81.685,0.028,7.169,0.1112,0.0773,FCC
4,5.5194,1.9,4.5675,82.12,0.0278,7.016,0.113,0.0788,FCC
4,5.2357,1.9,4.62,82.38,0.0298,6.916,0.1149,0.0803,FCC
4,6.5363,1.9,4.535,82.035,0.0258,6.959,0.1076,0.0748,FCC
4,6.0022,1.9,4.5875,82.295,0.0267,6.8935,0.1107,0.0772,FCC
4,8.0342,1.9,4.5025,81.95,0.0238,6.885,0.101,0.0698,FCC
4,6.2152,1.9,4.765,83.25,0.0296,6.25,0.1072,0.0756,FCC
1,4.6404,1.85,4.6,83.855,0.0332,9.1935,0.126,0.0855,FCC
