iter	Passed	Remaining
450	1758	385
451	1762	382
452	1766	378
453	1770	374
454	1774	370
455	1779	366
456	1783	362
457	1787	359
458	1791	355
459	1794	351
460	1798	347
461	1803	343
462	1807	339
463	1811	335
464	1815	331
465	1819	327
466	1822	323
467	1826	320
468	1831	316
469	1834	312
470	1838	308
471	1842	304
472	1846	300
473	1850	296
474	1854	292
475	1858	288
476	1862	285
477	1866	281
478	1870	277
479	1874	273
480	1877	269
481	1881	265
482	1884	261
483	1888	257
484	1892	253
485	1896	249
486	1901	245
487	1905	242
488	1909	238
489	1913	234
490	1917	230
491	1921	226
492	1924	222
493	1928	218
494	1932	214
495	1936	210
496	1941	207
497	1944	203
498	1947	199
499	1951	195
500	1955	191
501	1959	187
502	1963	183
503	1967	179
504	1971	175
505	1975	171
506	1979	167
507	1983	164
508	1987	160
509	1991	156
510	1995	152
511	2000	148
512	2004	144
513	2008	140
514	2011	136
515	2016	132
516	2020	128
517	2025	125
518	2029	121
519	2033	117
520	2038	113
521	2041	109
522	2045	105
523	2049	101
524	2052	97
525	2056	93
526	2060	89
527	2064	86
528	2067	82
529	2071	78
530	2075	74
531	2079	70
532	2083	66
533	2087	62
534	2091	58
535	2094	54
536	2099	50
537	2102	46
538	2107	43
539	2111	39
540	2114	35
541	2118	31
542	2122	27
543	2125	23
544	2129	19
545	2133	15
546	2137	11
547	2141	7
548	2144	3
549	2148	0
