Pm,ΔH,ΔS,Ω,ρ,e/a,EWF,α,HD,B,G,ad-e/n,ad-r,ad-α,ad-HD,ad-G,δ-VEC,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SLHF,δ-α,δ-HD,δ-G,δ-υ,δ-G/B,Phase
2,-12.1627,11.3574,1.6175,7.3778,1.8889,4.7828,13.1833,115.8334,164.1057,71.0056,0.0506,5.0844,3.8796,76.2038,30.9383,0.3387,0.1736,0.2327,0.3001,0.0716,0.348,0.0888,0.0709,0.1954,0.2809,0.4273,0.7636,0.471,0.2362,0.4444,BCC+FCC
3,-14.4701,13.2117,1.7007,7.6989,1.8333,4.7591,11.4745,129.4926,169.6194,67.4514,0.0533,5.9559,2.1835,68.5758,28.2431,0.2744,0.2092,0.0849,0.2032,0.0774,0.2033,0.0514,0.0683,0.1257,0.1893,0.2324,0.5975,0.4622,0.2197,0.4753,IM
1,-1.3437,13.2541,23.6581,8.2455,1.6364,4.2445,7.2364,131.4545,153.0273,45.2091,0.0365,7.6846,1.6397,57.686,28.5421,0.172,0.3484,0.156,0.3781,0.1868,0.294,0.1533,0.0547,0.2211,0.2878,0.268,0.4821,0.8333,0.1076,0.3953,BCC
1,-5.587,11.7487,4.6826,8.3553,1.7059,4.4294,8.3824,136.1765,171.4412,85.6235,0.0495,4.574,2.0104,31.4187,25.3834,0.1947,0.2907,0.2224,0.4348,0.106,0.2671,0.2727,0.0232,0.1337,0.1848,0.2906,0.3704,0.3583,0.1994,0.3152,BCC
1,1.3506,10.8364,18.1715,6.4927,1.697,4.2333,7.8152,100.697,135.9485,29.9909,0.0377,7.3545,1.5335,37.2084,10.3526,0.1112,0.286,0.146,0.2453,0.0782,0.2708,0.1777,0.0287,0.2083,0.2467,0.2237,0.3867,0.3648,0.0444,0.2023,BCC
1,-12.4237,13.381,2.4848,7.868,1.4,4.546,8.52,142.6,182.56,68.6,0.0685,8.0472,2.784,79.12,40.4,0.2789,0.3745,0.1923,0.2467,0.1285,0.3499,0.2503,0.0555,0.1568,0.218,0.3684,0.5726,0.6097,0.2256,0.5561,IM
2,-16.8315,14.2518,1.5972,7.4689,1.8518,4.7204,11.1555,113.8517,165.5739,67.6851,0.0607,6.6565,2.2453,55.9615,27.1583,0.3073,0.2319,0.0921,0.2199,0.0823,0.1918,0.072,0.074,0.1301,0.1866,0.235,0.5856,0.4488,0.2061,0.4363,IM
1,-2.2101,14.7375,12.4396,8.3744,1.541,4.7148,11.8623,117.5082,169.8623,70.2049,0.0561,3.397,2.9621,60.5843,24.7357,0.2359,0.2421,0.2054,0.0801,0.0619,0.3234,0.2396,0.0612,0.112,0.1554,0.3051,0.6074,0.3889,0.2056,0.4144,IM
1,-5.6524,13.1453,7.0293,12.7,1.5556,4.4144,6.3333,166.6667,221.1,89.4556,0.0334,3.5111,1.363,91.8519,45.2395,0.125,0.3348,0.1708,0.4025,0.1939,0.3194,0.1574,0.0332,0.1761,0.2397,0.2717,0.581,0.5445,0.1384,0.3119,BCC
4,-14.7924,15.7176,1.8638,7.0156,1.7945,4.6212,12.5977,99.1173,150.1259,58.0123,0.0666,8.7154,3.1535,56.1112,28.8175,0.3796,0.257,0.1818,0.2989,0.087,0.3054,0.1123,0.0653,0.1783,0.2418,0.3366,0.7107,0.5483,0.1991,0.4667,IM
1,-11.924,12.5685,1.8148,6.8395,1.9524,4.6071,13.3143,87.1429,153,79.319,0.0503,7.134,4.898,44.898,23.8662,0.3766,0.205,0.2994,0.3562,0.0832,0.3699,0.1691,0.069,0.2235,0.3102,0.4809,0.6562,0.3969,0.1588,0.2515,BCC
2,-6.9294,12.5685,3.9906,6.4119,1.5714,4.3538,8.7428,89.0475,147.8951,55.8666,0.0407,8.0551,2.1088,25.1927,27.9206,0.1653,0.2416,0.1844,0.2614,0.0269,0.3711,0.2495,0.019,0.1741,0.2317,0.414,0.3766,0.611,0.2222,0.545,BCC
