Pm,ΔH,ΔS,Ω,ρ,e/a,EWF,α,HD,B,G,ad-e/n,ad-r,ad-α,ad-HD,ad-G,δ-VEC,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SLHF,δ-α,δ-HD,δ-G,δ-υ,δ-G/B,Phase
1,-8.5349,12.4922,2.6192,7.7562,1.88,4.6627,12.7265,138.975,162.054,82.1905,0.0378,4.4287,2.8314,79.5917,10.3692,0.239,0.1594,0.1308,0.1732,0.0746,0.2165,0.1141,0.0785,0.1618,0.1705,0.3398,0.9113,0.2483,0.1564,0.2398,IM
4,-15.2812,12.2615,1.1789,5.8444,2.286,4.5699,16.5602,86.1123,135.3759,58.159,0.0476,9.0576,6.0376,67.0178,29.908,0.4715,0.1812,0.3296,0.4752,0.0734,0.3061,0.1182,0.0732,0.2784,0.3863,0.3933,0.9572,0.5506,0.1736,0.3468,BCC
2,-12.1998,13.1453,1.7746,6.7589,2,4.5511,14.6111,126.6665,144.7999,77.1999,0.0415,7.0696,5.5704,93.3332,21.3334,0.3599,0.1641,0.2616,0.333,0.0761,0.3333,0.1322,0.0761,0.2348,0.3001,0.4404,1.1031,0.3739,0.1642,0.2467,BCC+FCC
1,-10.5221,13.3508,2.3708,7.2633,1.8333,4.6062,12.2875,105,167,84.8667,0.0583,7.2932,5.1354,60.4167,25.2917,0.3588,0.2671,0.3313,0.3497,0.1035,0.4066,0.2425,0.0646,0.223,0.2985,0.5352,0.6797,0.3877,0.1485,0.2385,IM
2,-8.9324,9.7489,1.6744,7.3265,2.0926,4.3343,19.45,359.5374,136.3985,70.8057,0.0237,4.5917,3.6018,176.8796,13.3354,0.2305,0.1094,0.1446,0.2144,0.0872,0.1385,0.1894,0.0863,0.2562,0.1716,0.2098,0.5318,0.246,0.1919,0.26,BCC+FCC
5,-2.1764,10.6183,9.3906,8.2145,1.8002,4.6429,11.0637,161.0875,180.2842,81.5035,0.0345,1.6352,2.108,43.3984,14.7984,0.1413,0.1723,0.1584,0.0944,0.0601,0.2221,0.15,0.0504,0.066,0.145,0.2494,0.3523,0.2938,0.1826,0.3144,IM
1,-13.5349,15.5474,1.9834,7.1509,1.9091,4.6705,13.1045,111.2273,156.6818,66.3591,0.0521,6.8486,3.5132,65.6529,29.1355,0.3473,0.1998,0.213,0.302,0.0752,0.3123,0.0986,0.0689,0.191,0.2667,0.3849,0.7005,0.479,0.2098,0.4186,BCC
2,-6.7759,12.6017,3.4851,8.1436,1.8182,4.8091,11.3727,126.0908,176.8635,77.7726,0.041,1.1467,2.4397,57.5536,18.6579,0.2131,0.1552,0.1016,0.1133,0.0591,0.2121,0.0696,0.0681,0.0634,0.1372,0.2515,0.5406,0.3105,0.1987,0.3621,IM
4,-6.8661,12.6604,3.1742,7.1748,1.8887,4.4588,14.2323,190.0567,147.8133,82.4422,0.0306,5.8928,5.4002,137.8215,14.4232,0.2607,0.1287,0.2075,0.2308,0.0751,0.3,0.1489,0.0658,0.2103,0.2347,0.4363,0.9,0.2839,0.1558,0.2113,BCC
2,-10.7513,14.0487,2.3641,7.6353,1.8511,4.7128,12.417,123.7234,166.8404,72.8553,0.0477,4.6678,3.3436,66.1929,25.8017,0.2888,0.1948,0.2143,0.2393,0.0655,0.3148,0.1716,0.0686,0.1602,0.2329,0.3887,0.627,0.4066,0.2163,0.3997,IM
2,-5.6017,13.381,3.6299,7.454,2,4.716,15.84,106.6,153.52,56.32,0.0419,5.6856,3.448,75.92,20.824,0.3397,0.1595,0.2203,0.3233,0.061,0.3162,0.115,0.0677,0.2186,0.2552,0.2647,0.8031,0.3912,0.119,0.2719,BCC+FCC
2,-13.0145,14.2131,1.8831,7.176,1.96,4.688,13.204,116.4,159.304,69.524,0.0467,6.1075,3.6035,68.08,28.2512,0.3344,0.1759,0.2212,0.3036,0.0705,0.3054,0.0906,0.0701,0.1929,0.2733,0.4003,0.6872,0.4516,0.2119,0.3996,BCC+FCC
2,-20.1451,14.8968,1.277,6.67,2,4.6267,13.15,105.5002,150.8503,62.0168,0.0559,8.8801,3.75,64.0002,31.0501,0.3841,0.221,0.2231,0.3459,0.0813,0.2887,0.1045,0.0713,0.2089,0.2897,0.403,0.733,0.5358,0.21,0.4437,BCC+FCC
4,-11.7729,13.0108,2.6047,8.3273,1.3182,4.5755,8.2909,153.8636,191.65,74.7773,0.0749,7.7702,2.8512,79.6694,40.2934,0.2552,0.3903,0.1911,0.1907,0.125,0.3533,0.2577,0.0558,0.1266,0.189,0.3956,0.5247,0.5465,0.2349,0.5323,BCC
1,-3.2714,10.7941,5.6614,8.0713,1.98,4.586,14.851,226.35,161.244,79.602,0.0248,4.1879,3.6985,150.436,4.7853,0.1418,0.0964,0.0794,0.0723,0.0806,0.0707,0.1604,0.0867,0.1942,0.1146,0.2901,0.7617,0.1298,0.1354,0.2035,FCC
4,-12.9194,11.5143,1.4624,6.5498,2.0303,4.5976,14.0239,78.0325,145.3386,75.6501,0.0462,7.39,5.2228,40.6972,25.3341,0.3957,0.175,0.2832,0.3715,0.0702,0.3532,0.1019,0.0708,0.2298,0.3256,0.4576,0.6298,0.4131,0.1624,0.2587,IM
1,-13.0798,13.381,2.2705,7.716,2,4.292,11.18,79.2,143.32,42.52,0.0551,3.9056,4.968,33.36,13.584,0.1818,0.3708,0.3583,0.6327,0.0307,0.3162,0.3,0.0061,0.2589,0.2611,0.5664,0.528,0.3806,0.0765,0.225,BCC
2,0.3913,14.2218,64.5349,8.2039,1.6154,4.7435,12.2769,119.231,167.458,71.454,0.0422,2.1936,2.6805,63.2842,24.9379,0.2232,0.1618,0.1455,0.1233,0.0586,0.3012,0.0876,0.0579,0.1173,0.1712,0.2789,0.6169,0.3931,0.209,0.4068,IM
1,-14.6804,12.5108,1.8201,6.783,1.9,4.275,11.2,70,132.92,34.03,0.0473,3.2008,4.96,28,11.256,0.1782,0.3397,0.3463,0.5836,0.0524,0.3684,0.2927,0.0185,0.2743,0.2964,0.5699,0.5336,0.4135,0.0799,0.2845,BCC
4,-11.6418,12.4266,1.7617,7.4972,2.08,4.8186,14.4442,123.4392,165.7501,63.5908,0.0422,5.4327,3.2942,83.1082,26.3,0.3239,0.1559,0.2178,0.3084,0.0655,0.2514,0.0921,0.0711,0.2009,0.2734,0.3328,0.7438,0.4415,0.1799,0.3952,BCC+FCC
2,-13.154,12.6017,1.5734,6.2718,2.0909,4.5473,14.7363,81.8181,145.7089,72.6272,0.0503,8.5527,6.4463,54.7107,31.5835,0.4381,0.2308,0.3778,0.4496,0.0974,0.379,0.2237,0.0671,0.2706,0.378,0.4903,0.8225,0.4919,0.1493,0.2562,BCC
5,-3.1602,11.3162,6.6173,8.3172,1.8076,4.823,11.7609,154.4792,180.7224,74.0197,0.03,0.3366,2.1397,68.1805,23.2662,0.1619,0.1158,0.089,0.0819,0.0485,0.2181,0.0281,0.0585,0.0633,0.1547,0.2395,0.5019,0.3672,0.2246,0.4429,FCC
1,-13.2042,16.1784,2.0512,6.9943,1.8571,4.63,13.6571,97.5714,148.9714,59.9143,0.0605,7.9004,3.751,59.3878,28.4163,0.3862,0.23,0.2265,0.3258,0.0809,0.344,0.1179,0.066,0.2,0.2718,0.3706,0.7603,0.5207,0.1939,0.4243,BCC+FCC
4,-6.1086,15.7619,4.4118,7.6119,1.7458,4.6902,13.1661,108.3898,158.239,66.2407,0.0497,4.9616,3.2267,63.1255,27.2807,0.3133,0.1932,0.1988,0.2487,0.0703,0.3433,0.1036,0.0631,0.1704,0.2342,0.3443,0.6959,0.4524,0.2006,0.4077,FCC
2,-13.3462,13.2541,1.6046,6.7036,2.0909,4.6491,14.6363,105.5453,150.6998,66.0727,0.0467,7.3348,4.8892,69.785,29.4479,0.3896,0.1712,0.2757,0.3768,0.0707,0.3195,0.1039,0.0724,0.2342,0.3255,0.4143,0.7865,0.4819,0.1958,0.371,BCC+FCC
4,-12.9522,11.3574,1.6767,7.4111,1.7222,4.6522,10.3944,94.7222,161.0667,81.4389,0.0533,6.0028,2.3951,30.7099,19.3796,0.2875,0.2139,0.094,0.1961,0.0773,0.2601,0.0571,0.0676,0.1212,0.179,0.2685,0.3808,0.3617,0.2193,0.3452,BCC
2,-15.8746,14.221,1.5853,6.4379,2,4.2929,15.8071,203.9285,136.4358,58.2214,0.0549,5.9364,6.7071,172.9081,27.3072,0.3278,0.2823,0.3575,0.3746,0.1022,0.3273,0.3725,0.0359,0.2813,0.2858,0.4394,0.9598,0.513,0.1943,0.3753,BCC+FCC
1,-23.3293,11.5256,0.7361,6.2625,2,4.6025,15.95,47.5,129.3,45.75,0.0809,9.2325,4.2,16.25,19.5,0.5051,0.2895,0.2573,0.4371,0.0959,0.3536,0.1535,0.0753,0.2371,0.3024,0.3122,0.4111,0.5106,0.106,0.2655,FCC
2,-15.1495,13.381,1.6655,7.464,1.8,4.696,11.06,123.6,165.16,68.58,0.0561,6.8704,2.288,62.32,29.384,0.2911,0.2207,0.0868,0.2162,0.0802,0.2222,0.0562,0.068,0.131,0.1974,0.2474,0.584,0.4762,0.231,0.476,IM
1,-8.6183,11.2386,2.1511,7.7086,2.1429,4.7971,14.4857,135.8571,168.6429,62.7714,0.0309,4.5469,2.6041,75.0204,22.3755,0.274,0.1265,0.1784,0.2712,0.0529,0.1633,0.0824,0.0694,0.178,0.2298,0.2625,0.6374,0.3645,0.1423,0.314,BCC+FCC
4,-10.8006,11.5256,2.5595,8.71,1.25,4.6,8.1,163.25,199.225,79.925,0.0796,7.2875,2.85,78.25,39.175,0.2308,0.4018,0.1883,0.1238,0.1204,0.3464,0.2626,0.0554,0.0895,0.1575,0.4175,0.4824,0.4918,0.2406,0.5099,IM
2,-12.7412,13.2066,1.6048,7.1932,2.1786,4.5518,17.3607,229.1068,147.9104,64.1249,0.0356,6.7349,4.7079,163.3288,20.9464,0.3108,0.1401,0.1986,0.3021,0.0882,0.1758,0.1729,0.0911,0.2636,0.2394,0.2766,0.8187,0.346,0.1843,0.3287,FCC
1,-3.3747,11.0758,6.182,7.728,1.6,4.55,11.84,179,158.72,94.34,0.0348,3.3176,4.528,128.4,16.128,0.2023,0.1394,0.1381,0.0832,0.0754,0.3062,0.1359,0.0742,0.1652,0.1464,0.4822,0.9102,0.1754,0.1576,0.1883,BCC+FCC
2,-12.5478,14.4228,2.1237,7.6739,1.8163,4.6959,12.2082,121.939,167.0922,71.5593,0.0545,5.5089,3.4202,64.9481,26.3357,0.2947,0.2288,0.2289,0.2345,0.0677,0.3276,0.2166,0.0697,0.159,0.228,0.396,0.6271,0.4148,0.2157,0.4097,IM
2,-11.2177,14.8968,2.1998,7.165,2,4.5883,15.0667,178.8337,152.2003,71.1335,0.0396,6.4023,5.0556,131.7782,24.2222,0.3163,0.1515,0.2283,0.2927,0.0799,0.2887,0.1448,0.0813,0.2329,0.2694,0.3934,0.905,0.4011,0.213,0.3547,BCC
3,-6.2517,11.9242,3.5762,8.3655,1.7737,4.8444,11.5459,121.7868,178.724,79.1244,0.0412,1.3218,2.3369,60.1562,17.4753,0.1909,0.1736,0.1283,0.0817,0.0559,0.2359,0.1412,0.0645,0.0671,0.1323,0.2489,0.5767,0.3047,0.2042,0.3657,IM
4,-10.7517,13.3508,2.0655,7.0021,1.9583,4.5154,14.975,170.2083,145.3625,79.2833,0.0375,6.6052,5.6771,137.4132,17.2292,0.32,0.1531,0.2361,0.2876,0.0799,0.312,0.1516,0.0796,0.2347,0.2699,0.4252,1.0245,0.3291,0.1625,0.2308,IM
1,-0.9462,10.9231,26.1326,6.596,1.6,4.254,7.61,96,136.38,36.65,0.0422,7.7814,1.554,32.4,18.24,0.1491,0.3263,0.1455,0.2414,0.0803,0.3062,0.2048,0.034,0.2031,0.2832,0.2359,0.3819,0.7486,0.1542,0.6171,BCC
1,-1.4734,12.3288,15.4173,7.8155,1.6,4.5575,12.365,177,157.64,90.98,0.038,3.3547,4.5415,129.2,16.464,0.2159,0.148,0.149,0.0872,0.0776,0.3062,0.1392,0.0742,0.1684,0.1534,0.4568,0.9279,0.2064,0.1686,0.2117,BCC+FCC
5,-3.1145,11.0548,6.5227,8.2683,1.8333,4.8,11.7,128.8333,176.8167,80.7167,0.0304,0.3011,1.8333,55.5,13.4389,0.1629,0.1154,0.0853,0.0798,0.0466,0.2033,0.0276,0.0634,0.0634,0.1329,0.2201,0.5107,0.2667,0.189,0.3237,FCC
2,-10.3632,14.8549,2.6405,7.5117,1.8696,4.6748,12.613,129.6522,171.8174,76.7957,0.0593,6.5754,4.4733,76.1588,29.2144,0.3336,0.2478,0.3032,0.3172,0.0935,0.3633,0.2185,0.0663,0.2049,0.2864,0.4754,0.6598,0.4453,0.1928,0.352,IM
4,0.1951,13.381,157.856,7.798,1.8,4.176,7.58,120.8,135.16,32.64,0.0514,9.016,1.336,40.64,10.288,0.1113,0.4267,0.1255,0.389,0.0933,0.2222,0.1557,0.041,0.1916,0.2062,0.2066,0.3579,0.3461,0.0538,0.2154,IM
4,-4.7721,14.8968,8.7172,10.92,1.6667,4.3883,6.9833,153.5,201.6667,77.35,0.0451,4.5817,1.6167,77.6667,42,0.133,0.3876,0.2154,0.4952,0.1858,0.2828,0.2094,0.0307,0.1986,0.2631,0.275,0.5797,0.6144,0.13,0.3207,BCC
1,-14.9361,13.3319,1.8838,7.3463,1.9474,4.1663,9.9579,99.8421,121.7211,28.4632,0.0513,7.2372,4.41,51.9224,5.9058,0.1492,0.446,0.2779,0.4907,0.0911,0.3105,0.2365,0.041,0.2296,0.2721,0.6137,0.5675,0.2629,0.0671,0.266,BCC
1,2.4288,9.1338,8.5479,6.53,1.6667,4.2267,7.7667,96.6667,133.8333,28,0.0315,6.9889,1.6222,35.5556,8.7333,0.1088,0.2568,0.1521,0.2551,0.0777,0.2828,0.1785,0.0297,0.2145,0.2583,0.2352,0.3992,0.3352,0.0283,0.141,BCC
1,1.7421,12.4227,16.6016,8.1325,1.875,4.1925,7.7875,104.125,131.8,31.075,0.0434,6.8188,1.8094,40.1562,12.0125,0.1019,0.3926,0.1959,0.5228,0.0765,0.1764,0.1908,0.0375,0.2191,0.2109,0.2465,0.4213,0.5081,0.061,0.2596,BCC
4,-12.074,15.9728,2.2984,7.2397,1.7762,4.6471,12.8127,102.601,153.1743,61.1079,0.0617,7.5647,3.212,59.0346,28.6152,0.3569,0.2362,0.1887,0.2823,0.082,0.32,0.1104,0.0649,0.1763,0.24,0.3405,0.7067,0.5136,0.2012,0.446,IM
2,-5.0299,14.8392,4.918,7.5108,1.8288,4.6958,13.7847,109.4594,157.9485,68.1864,0.0447,4.4494,3.6231,66.3354,26.8975,0.3222,0.1679,0.2278,0.2769,0.0647,0.3586,0.0995,0.0649,0.1883,0.2602,0.371,0.7192,0.4341,0.1961,0.3782,BCC+FCC
2,-15.7998,14.4258,1.7738,7.9478,1.7778,4.7144,11.2778,129.5554,172.1554,65.4555,0.0658,6.8713,2.2519,63.9505,25.916,0.268,0.2747,0.1624,0.1694,0.0755,0.2339,0.2138,0.0707,0.1124,0.1641,0.2369,0.5667,0.4314,0.1984,0.4501,BCC+FCC
4,-5.6094,15.9728,5.0706,7.5299,1.7762,4.6417,12.4723,117.112,160.5552,65.8732,0.0541,3.6849,3.5676,58.9317,24.3484,0.3205,0.1993,0.2053,0.2289,0.0684,0.32,0.1383,0.0662,0.1523,0.2096,0.3704,0.6029,0.4098,0.1819,0.378,BCC
2,-4.8618,10.859,4.2901,8.0792,1.6154,4.7769,10.4154,116.6153,174.3306,88.3922,0.042,0.2639,3.2426,52.2366,20.0828,0.2137,0.1512,0.1076,0.0968,0.0619,0.3012,0.0348,0.0634,0.076,0.1357,0.3249,0.5508,0.2844,0.238,0.3472,BCC
4,2.3601,11.5256,12.3419,9.0675,1.75,4.2325,7.45,97.5,148.2,38.275,0.0338,6.0875,1.375,27.5,16.825,0.1111,0.3507,0.2107,0.5101,0.0672,0.2474,0.1881,0.0258,0.2288,0.2321,0.2247,0.3431,0.5112,0.0776,0.2979,BCC
2,-13.8783,14.14,1.9174,7.7064,1.84,4.7516,11.232,118.16,169.548,71.236,0.0547,5.0138,2.327,56.992,24.7859,0.2783,0.2092,0.0956,0.1903,0.076,0.1992,0.0717,0.0725,0.1128,0.1721,0.2412,0.5709,0.4036,0.2056,0.412,IM
3,-8.4645,12.3701,2.7865,8.3733,1.7456,4.8247,11.3918,120.2704,178.5163,77.7446,0.0477,2.4553,2.4819,59.076,18.8988,0.2056,0.2099,0.1507,0.0803,0.0599,0.2495,0.1859,0.0669,0.0676,0.1298,0.2573,0.5769,0.3178,0.2049,0.3761,IM
1,-2.8183,13.3303,11.3935,7.3602,1.566,4.3321,7.2132,137.7358,170.3962,55.6057,0.0357,7.6785,1.57,51.1214,33.4048,0.1598,0.2688,0.1586,0.2808,0.1735,0.3165,0.1566,0.0419,0.197,0.2746,0.2549,0.4527,0.7249,0.123,0.3896,IM
4,-11.6263,13.2556,1.9216,7.5359,2.0501,4.802,14.1989,128.3453,168.1536,64.8102,0.0475,5.7798,3.3847,85.2272,27.4685,0.3277,0.1828,0.2478,0.3115,0.0724,0.2705,0.1389,0.0707,0.2027,0.2781,0.3566,0.7243,0.4587,0.1802,0.3952,BCC+FCC
1,-1.5985,13.1453,20.3889,8.8544,1.5556,4.2567,7.0667,137.3333,161.6444,50.4889,0.0352,7.4726,1.4963,59.8519,32.5383,0.175,0.3575,0.1472,0.3502,0.1943,0.3194,0.1466,0.0579,0.2178,0.2731,0.2595,0.4757,0.7875,0.1134,0.3848,BCC
1,-1.0326,11.0758,23.9943,6.366,1.8,4.256,7.98,114.4,143.14,36.76,0.0454,8.72,1.144,35.52,12.248,0.1065,0.2898,0.1214,0.2051,0.073,0.2222,0.1655,0.0244,0.1777,0.2013,0.1803,0.323,0.3526,0.0661,0.2453,IM
1,1.4669,14.3353,24.8296,9.9252,1.7619,4.1867,7.119,118.1905,147.8571,40.6333,0.0373,7.3484,1.2426,43.6463,18.9333,0.1312,0.4129,0.1856,0.4393,0.1274,0.2417,0.166,0.0443,0.2281,0.2355,0.2239,0.4098,0.6269,0.0848,0.3116,BCC
2,-3.0785,4.0437,2.001,7.4288,2.0266,4.1673,21.0537,459.6544,127.5613,75.9336,0.0079,1.5612,1.2905,72.1075,4.3759,0.1264,0.0622,0.0782,0.1137,0.0559,0.0794,0.1302,0.0544,0.1695,0.0917,0.1146,0.2623,0.1302,0.1293,0.1424,BCC
2,-7.4703,13.0226,2.772,7.1968,1.8889,4.6848,14.6,69.7618,148.4745,71.0571,0.0522,5.8851,4.3809,31.8971,24.8163,0.3742,0.1864,0.2567,0.3306,0.0707,0.3786,0.1102,0.0719,0.2171,0.291,0.3776,0.6039,0.4017,0.1456,0.2618,BCC+FCC
2,-3.9178,12.5685,6.1611,8.3014,1.7143,4.7786,10.9809,143.8094,181.6427,81.9856,0.041,1.0502,2.8367,63.1519,20.034,0.1868,0.1744,0.1459,0.0987,0.0648,0.2635,0.1246,0.0603,0.0733,0.1536,0.294,0.5096,0.3333,0.224,0.3869,IM
4,-9.8469,14.5339,2.6501,7.4288,1.9168,4.6634,12.8594,127.151,167.4963,75.2265,0.0526,6.0932,4.0416,70.5019,26.9577,0.3214,0.2158,0.2787,0.3052,0.0839,0.3339,0.1885,0.0659,0.1967,0.2765,0.4406,0.64,0.4263,0.19,0.3435,IM
1,-0.794,13.3111,43.2957,9.2419,1.6375,4.2876,7.0975,117.375,165.72,51.0888,0.0319,5.9276,1.4046,47.6531,29.4382,0.1496,0.3218,0.1968,0.4636,0.1605,0.2936,0.1731,0.0386,0.2195,0.2661,0.2475,0.4811,0.6936,0.1135,0.3797,IM
4,-10.395,14.5336,2.5178,7.236,1.9,4.631,12.92,131.1,165.91,73.81,0.0535,6.793,4.7,76.1,31.208,0.3405,0.2255,0.3042,0.3354,0.0907,0.3684,0.2064,0.0632,0.2131,0.3021,0.4795,0.6602,0.4736,0.206,0.3783,IM
1,-21.2643,13.3448,1.2541,6.9038,2.0476,4.1771,11.2571,91.7619,117.681,28.5333,0.0571,7.073,5.8776,53.1338,5.3968,0.1652,0.4447,0.3284,0.5345,0.0903,0.3189,0.2668,0.0397,0.241,0.29,0.627,0.647,0.2496,0.0766,0.2846,IM
4,-9.0925,14.2324,2.8125,7.4638,1.9231,4.6508,12.7769,128.9231,167.4462,75.7154,0.05,5.7865,3.8059,66.6982,25.1787,0.3076,0.2073,0.2676,0.2922,0.0806,0.32,0.1815,0.0641,0.1887,0.2659,0.4266,0.6083,0.4075,0.1838,0.3286,IM
1,-9.5976,10.8467,1.7754,7.2362,2.13,4.4364,17.366,250.15,142.28,73.677,0.0292,6.3924,4.9147,189.886,11.564,0.2695,0.1248,0.1758,0.2521,0.0881,0.1579,0.1817,0.0841,0.2531,0.2104,0.2866,0.8014,0.2349,0.1213,0.1791,IM
1,2.3511,12.4448,14.1505,10.4558,1.6926,4.2261,7.2978,98.9621,156.3108,42.8561,0.0348,5.1391,1.0325,25.5001,16.134,0.1055,0.3854,0.1886,0.4477,0.0675,0.2726,0.1686,0.0301,0.2085,0.1973,0.1966,0.3428,0.4454,0.0768,0.2669,BCC
2,-14.2774,16.1784,2.2197,6.78,1.8571,4.5014,11.2857,134.1427,163.2713,66.0714,0.0508,7.5563,4.3837,67.8367,34.7102,0.3344,0.2601,0.2788,0.3517,0.1131,0.344,0.2147,0.0516,0.2084,0.2913,0.5106,0.5994,0.5725,0.1962,0.4299,BCC+FCC
1,-1.4004,13.2541,22.8611,8.4282,1.6364,4.2191,6.8364,139.6364,152.7273,44.8727,0.0331,8.6678,1.3917,50.6446,28.6645,0.172,0.3427,0.1477,0.3496,0.1947,0.294,0.1335,0.0561,0.2226,0.3017,0.2529,0.4246,0.8443,0.1094,0.407,BCC
1,-3.8021,12.1978,6.085,8.2544,1.7317,4.7829,11.1244,141.7073,179.6098,80.9683,0.0364,0.6182,2.696,62.6413,19.7894,0.1832,0.1534,0.1255,0.0934,0.0596,0.2559,0.0938,0.0607,0.0707,0.1521,0.2816,0.5145,0.3317,0.2266,0.3917,FCC
5,-1.5898,14.6974,15.6515,7.8382,1.7273,4.7164,13.3818,111.9091,161.3182,69.3636,0.0433,3.2701,3.2165,65.157,25.8579,0.2827,0.1595,0.2045,0.2242,0.0602,0.357,0.0967,0.0614,0.1654,0.2291,0.3454,0.6876,0.4128,0.1974,0.3819,FCC
3,-15.6224,11.5256,1.6441,8.115,2,4.29,11.9,63.75,139.875,40.675,0.0555,1.1725,5.85,26.25,14.425,0.1951,0.4057,0.3988,0.6635,0.0288,0.3536,0.324,0.0068,0.2911,0.2938,0.5793,0.4941,0.4332,0.0837,0.2528,IM
5,-10.057,6.724,1.6855,8.5932,1.1585,4.411,8.695,90.4621,172.8045,45.7498,0.0741,5.8331,2.2002,23.4686,7.8995,0.3206,0.5421,0.1786,0.0238,0.0694,0.3153,0.2056,0.0557,0.0711,0.0746,0.3238,0.4677,0.2768,0.0794,0.277,IM
3,-3.0089,13.2542,10.6886,7.4642,1.5455,4.3418,7.1366,141.0788,173.8239,58.0729,0.0347,7.6219,1.5966,51.7294,35.7836,0.1614,0.2647,0.1591,0.2811,0.1766,0.3222,0.1543,0.0427,0.1957,0.2749,0.2589,0.4508,0.7158,0.1269,0.3907,BCC
2,0.3194,12.6944,65.1686,8.2525,1.875,4.8019,14.3313,127.3125,168.425,61.9688,0.0276,2.6397,2.0469,74.1875,20.3813,0.2079,0.1099,0.1488,0.1815,0.0386,0.2582,0.0957,0.0604,0.1521,0.1778,0.2017,0.6552,0.3353,0.133,0.3017,FCC
4,-11.5673,14.6102,2.2645,7.3496,1.902,4.6922,13.0451,123.1373,167.651,74.1275,0.0578,6.6953,4.5352,78.2007,30.8451,0.3518,0.2345,0.3028,0.3334,0.0911,0.3645,0.2037,0.0692,0.214,0.299,0.4696,0.7118,0.4677,0.2026,0.3761,IM
1,1.0877,12.8852,27.7305,7.7257,1.7143,4.1757,7.2857,119.1429,137.3429,31.9857,0.0407,9.0755,1.1306,39.2653,10.3265,0.1117,0.3924,0.1289,0.3398,0.0931,0.2635,0.1505,0.0382,0.2011,0.234,0.2003,0.3453,0.3498,0.0511,0.2153,BCC
2,-8.0339,10.5067,2.396,7.9625,1.75,4.8456,11.8812,128.4375,174.7063,76.2313,0.0461,2.1449,3.5508,77.8516,28.2734,0.2615,0.1581,0.1665,0.1961,0.0659,0.3194,0.0625,0.0632,0.1343,0.212,0.3806,0.6685,0.4174,0.2512,0.458,FCC
4,-2.5241,15.445,10.4647,7.7779,1.7368,4.7018,13.2035,112.9298,161.1702,68.6807,0.0455,3.3854,3.2939,64.1243,25.6694,0.2912,0.1688,0.2057,0.2257,0.0623,0.3499,0.109,0.0627,0.163,0.2255,0.3511,0.671,0.4128,0.1946,0.3817,FCC
1,-4.7326,11.7645,4.591,8.291,1.75,4.84,11.895,139.1,176.335,82.035,0.0389,0.9754,2.8665,83.83,17.1645,0.1926,0.1374,0.1085,0.0908,0.0652,0.2474,0.0789,0.069,0.1104,0.1423,0.3194,0.7848,0.3015,0.2243,0.3698,FCC
4,-4.9406,11.5256,6.0111,9.65,1.5,4.42,7,120,182.875,82.65,0.0551,6.995,1.6,55,36.45,0.1579,0.4082,0.2101,0.4701,0.1537,0.3333,0.2651,0.0311,0.1883,0.2205,0.2742,0.5433,0.4842,0.2266,0.4326,BCC
4,-3.2641,11.558,6.3112,7.6941,1.8235,4.4932,13.5804,208.8725,155.6578,86.3373,0.0278,4.3523,4.3731,142.7095,11.0442,0.183,0.1155,0.1407,0.1149,0.077,0.2356,0.1505,0.0712,0.185,0.1615,0.4037,0.8108,0.1821,0.1368,0.1837,BCC+FCC
2,-9.5682,12.9758,2.3124,7.2333,2,4.655,13.4167,120.5001,159.3168,71.7167,0.0382,5.1673,3.5222,63.8334,24.6111,0.3116,0.1486,0.2205,0.2921,0.0625,0.2887,0.0856,0.0666,0.1873,0.2639,0.3863,0.6287,0.4002,0.1908,0.3428,BCC
4,-9.4555,10.8364,2.1883,7.6758,1.697,4.6815,10.4121,97.8788,165.1727,86.7242,0.0469,3.5719,2.5914,31.5886,16.8338,0.2535,0.1863,0.0982,0.1576,0.07,0.2708,0.049,0.0668,0.1029,0.1537,0.2799,0.3684,0.2851,0.1995,0.2921,BCC+FCC
5,-11.4169,7.6789,1.6631,8.596,1.192,4.4344,8.9893,92.6696,172.7632,46.731,0.0847,6.6645,2.5138,27.8554,9.1896,0.3322,0.5476,0.1948,0.0262,0.0737,0.3304,0.2248,0.0596,0.0775,0.0814,0.3356,0.4992,0.2939,0.0866,0.294,IM
2,-11.5489,13.381,1.9511,7.104,2,4.686,13.74,114.6,157.84,69.76,0.0443,5.9168,3.968,69.52,27.968,0.3447,0.163,0.2427,0.3227,0.0678,0.3162,0.093,0.0706,0.2057,0.2899,0.4092,0.7131,0.4454,0.2054,0.3796,BCC
1,-0.4866,14.5112,54.6572,8.3668,1.561,4.7301,12.0309,118.8943,169.7463,71.2805,0.0497,2.6455,2.8824,61.7864,24.443,0.2232,0.212,0.1908,0.0815,0.0585,0.3179,0.2084,0.0597,0.1112,0.1581,0.2972,0.6082,0.3818,0.2065,0.4071,IM
2,-18.2026,15.8415,1.3948,6.3424,2,4.5712,14.6235,85.647,138.8294,54.147,0.0626,9.2735,4.7128,55.5432,27.4727,0.451,0.2456,0.2663,0.3985,0.0845,0.343,0.1314,0.0668,0.2284,0.3115,0.3898,0.848,0.5716,0.1815,0.4176,BCC
1,-1.1899,13.381,30.0997,10.654,1.6,4.276,7.08,128.6,172.48,57.3,0.0417,5.3904,1.336,58.32,31.28,0.1559,0.4104,0.1671,0.3883,0.1779,0.3062,0.1649,0.0523,0.2053,0.2198,0.2418,0.4935,0.6413,0.1091,0.324,BCC
