Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Pm,Phase
7.4074,0,18.5185,18.5185,18.5185,37.037,0,0,0,0,0,0,0,0,0,1,BCC+FCC
9.2593,9.2593,0,0,9.2593,9.2593,0,0,0,0,0,0,62.963,0,0,1,BCC+FCC
7.8125,7.8125,0,0,7.8125,7.8125,0,0,0,0,0,0,68.75,0,0,1,BCC+FCC
6.5217391,21.7391304,21.7391304,6.5217391,21.7391304,21.7391304,0,0,0,0,0,0,0,0,0,3,FCC
0,16.6667,16.6667,0,16.6667,33.3333,0,8.3333,0,0,0,8.3333,0,0,0,1,IM
3.7037,3.7037,0,0,3.7037,3.7037,0,0,0,0,0,0,85.1852,0,0,1,BCC
0,0,20,0,20,0,20,0,0,20,0,20,0,0,0,3,IM
0,0,20,0,0,0,10,20,0,20,10,0,0,0,20,3,IM
35.7143,14.2857,14.2857,0,14.2857,14.2857,0,7.1429,0,0,0,0,0,0,0,1,IM
4.7619048,23.8095238,23.8095238,0,23.8095238,23.8095238,0,0,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,0,42.10526316,0,5.263157895,0,21.05263158,0,10.52631579,21.05263158,3,BCC
0,20,20,20,20,0,0,0,0,0,0,0,20,0,0,3,BCC+FCC
71.4286,7.1429,7.1429,0,7.1429,7.1429,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,34.60207612,19.23875433,0,23.07958478,23.07958478,0,0,0,0,0,0,0,0,0,4,FCC
20,16,16,0,16,16,0,0,0,0,0,0,16,0,0,3,BCC
0,0,0,0,0,0,0,33.3333333,0,33.3333333,0,0,0,33.3333333,0,3,BCC
16.6667,16.6667,16.6667,0,16.6667,16.6667,16.6667,0,0,0,0,0,0,0,0,1,IM
13.7931,17.2414,17.2414,17.2414,17.2414,17.2414,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,0,28.57142857,0,28.57142857,28.57142857,0,14.28571429,0,0,0,0,0,0,0,3,BCC
0,0,29.4117647,0,29.4117647,0,0,0,5.8823529,0,5.8823529,29.4117647,0,0,0,3,BCC
0,26.6667,13.3333,0,6.6667,26.6667,0,13.3333,0,13.3333,0,0,0,0,0,1,BCC+FCC
23.80952381,19.04761905,19.04761905,0,19.04761905,19.04761905,0,0,0,0,0,0,0,0,0,2,BCC
12.5,0,0,0,34.6153846,17.3076923,0,3.8461538,0,0,0,0,31.7307692,0,0,3,IM
0,0,20,0,0,0,20,20,0,20,0,0,0,0,20,3,IM
22.2222222,0,0,0,0,0,0,22.2222222,0,22.2222222,0,22.2222222,0,0,11.1111111,3,IM
16.66666667,0,16.66666667,16.66666667,16.66666667,16.66666667,0,16.66666667,0,0,0,0,0,0,0,2,IM
0,0,0,0,0,0,21.05263158,21.05263158,0,21.05263158,0,15.78947368,0,0,21.05263158,3,BCC
0,13.3333,33.3333,0,13.3333,26.6667,0,13.3333,0,0,0,0,0,0,0,1,BCC+FCC
0,0,27.77777778,0,27.77777778,27.77777778,0,16.66666667,0,0,0,0,0,0,0,3,BCC
0,0,0,0,0,0,0,25,0,12.5,0,12.5,0,25,25,3,BCC
14.2857143,14.2857143,14.2857143,14.2857143,14.2857143,0,0,14.2857143,0,0,0,0,14.2857143,0,0,3,IM
7.936507937,15.87301587,15.87301587,15.87301587,15.87301587,15.87301587,0,0,0,0,0,12.6984127,0,0,0,3,IM
7.470440702,14.92296668,14.92296668,14.92296668,14.92296668,14.92296668,0,17.9147259,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,25,0,25,0,25,25,0,0,0,0,1,IM
0,18.699187,18.699187,18.699187,18.699187,18.699187,0,0,0,6.504065,0,0,0,0,0,3,IM
22.22222222,22.22222222,22.22222222,0,22.22222222,0,11.11111111,0,0,0,0,0,0,0,0,3,IM
16.6667,0,16.6667,0,16.6667,16.6667,16.6667,0,16.6667,0,0,0,0,0,0,1,BCC
23.0769,15.3846,15.3846,15.3846,15.3846,15.3846,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,23.80952381,23.80952381,0,23.80952381,23.80952381,0,4.761904762,0,0,0,0,0,0,0,4,FCC
0,0,0,0,0,0,12.5,25,0,12.5,0,0,0,25,25,3,BCC
0,23.8095,23.8095,0,23.8095,23.8095,4.7619,0,0,0,0,0,0,0,0,1,IM
16.6667,0,16.6667,16.6667,16.6667,33.3333,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,0,0,0,0,0,18.1818182,18.1818182,0,18.1818182,0,0,0,18.1818182,27.2727273,3,BCC
0,0,0,0,0,0,28.2608696,21.7391304,0,21.7391304,0,6.5217391,0,0,21.7391304,3,BCC
0,14.2857,35.7143,0,14.2857,28.5714,0,7.1429,0,0,0,0,0,0,0,1,BCC+FCC
0,5,0,5,0,40,0,40,0,0,0,0,0,0,10,3,IM
0,25,17.85714286,0,28.57142857,28.57142857,0,0,0,0,0,0,0,0,0,4,FCC
0,0,0,0,0,0,0,25,0,0,25,0,0,25,25,3,BCC
17.3913,17.3913,17.3913,0,17.3913,17.3913,0,0,0,13.0435,0,0,0,0,0,1,IM
10,0,20,0,0,0,0,40,0,20,0,10,0,0,0,2,IM
16.6667,27.7778,27.7778,0,0,27.7778,0,0,0,0,0,0,0,0,0,1,BCC+FCC
33.3333,0,0,0,0,0,22.2222,0,0,22.2222,22.2222,0,0,0,0,1,IM
0,20,20,5,20,20,15,0,0,0,0,0,0,0,0,1,IM
0,0,0,0,0,0,0,36.36363636,0,18.18181818,0,18.18181818,0,9.090909091,18.18181818,3,BCC
9.090909091,0,18.18181818,0,36.36363636,13.63636364,0,0,0,0,0,0,22.72727273,0,0,3,IM
0,0,23.2558,0,0,23.2558,0,23.2558,0,23.2558,6.9767,0,0,0,0,1,IM
18.1818182,0,27.2727273,0,0,0,0,18.1818182,0,18.1818182,0,18.1818182,0,0,0,3,IM
24.3902439,0,0,0,0,0,0,24.3902439,0,24.3902439,0,24.3902439,0,0,2.4390244,3,IM
16.6667,0,16.6667,0,16.6667,33.3333,0,0,16.6667,0,0,0,0,0,0,1,IM
26.4706,14.7059,14.7059,14.7059,14.7059,14.7059,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,0,25,0,0,0,25,25,0,0,0,0,0,0,0,2,BCC
0,0,0,0,0,0,25,25,0,25,0,0,0,0,25,1,BCC
0,23.80952381,0,0,23.80952381,23.80952381,4.761904762,0,0,0,0,23.80952381,0,0,0,3,IM
0,0,0,0,0,0,16.66666667,16.66666667,0,16.66666667,0,33.33333333,0,0,16.66666667,3,BCC
0,10,10,0,40,0,0,0,0,0,0,0,40,0,0,4,FCC
0,0,0,0,0,0,0,0,0,25,25,0,0,25,25,3,BCC
11,0,0,0,34,16,0,0,0,0,0,0,39,0,0,3,IM
0,0,0,0,33.3333333,33.3333333,0,0,0,0,0,0,33.3333333,0,0,3,FCC
18.1818,18.1818,18.1818,18.1818,18.1818,9.0909,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,0,22.2222,0,0,22.2222,0,22.2222,0,22.2222,11.1111,0,0,0,0,1,IM
0,0,0,0,0,0,29.8245614,17.5438596,0,17.5438596,0,17.5438596,0,0,17.5438596,3,IM
15.38461538,30.76923077,15.38461538,0,15.38461538,15.38461538,7.692307692,0,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,14.893617,21.2765957,0,21.2765957,0,21.2765957,0,0,21.2765957,3,BCC
14.28571429,28.57142857,0,0,28.57142857,28.57142857,0,0,0,0,0,0,0,0,0,3,BCC+FCC
0,0,0,0,0,0,20,20,20,20,20,0,0,0,0,2,BCC
4.4504,0,4.4504,0,4.4504,0,4.4504,0,0,0,0,82.1985,0,0,0,1,BCC
16.6667,16.6667,16.6667,0,33.3333,16.6667,0,0,0,0,0,0,0,0,0,1,BCC
27.27024816,0,24.24325061,0,24.24325061,24.24325061,0,0,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,12.5,25,0,25,0,12.5,0,25,0,3,BCC
6.9444,13.8889,13.8889,0,37.5,13.8889,13.8889,0,0,0,0,0,0,0,0,1,BCC
10,0,20,10,20,20,0,0,0,0,0,0,20,0,0,1,BCC+FCC
0,9,9,0,37,0,0,0,0,0,0,0,45,0,0,3,FCC
22.22222222,22.22222222,0,22.22222222,22.22222222,11.11111111,0,0,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,20,20,0,20,20,0,0,0,20,2,IM
7.936507937,15.87301587,15.87301587,15.87301587,15.87301587,15.87301587,0,12.6984127,0,0,0,0,0,0,0,3,IM
7.031778229,14.08609421,14.08609421,14.08609421,14.08609421,14.08609421,0,22.53775073,0,0,0,0,0,0,0,3,IM
20.83333333,20.83333333,0,20.83333333,20.83333333,16.66666667,0,0,0,0,0,0,0,0,0,3,IM
3.915881073,18.63669326,18.63669326,3.915881073,18.63669326,36.25815809,0,0,0,0,0,0,0,0,0,4,FCC
42.88164666,14.27958834,14.27958834,0,14.27958834,14.27958834,0,0,0,0,0,0,0,0,0,3,BCC
0,0,0,0,0,0,2.9411765,29.4117647,0,29.4117647,0,8.8235294,0,0,29.4117647,3,BCC
0,0,0,0,0,0,18.1818182,27.2727273,0,18.1818182,0,0,0,18.1818182,18.1818182,3,BCC
15.9744,15.9744,15.9744,15.9744,15.9744,15.9744,0,0,0,4.1534,0,0,0,0,0,1,BCC+FCC
0,0,20,0,0,20,0,20,0,20,20,0,0,0,0,1,IM
0,16.66666667,0,0,16.66666667,33.33333333,16.66666667,0,0,0,0,16.66666667,0,0,0,3,IM
3.5,26.31578947,17.55263158,0,17.55263158,26.31578947,0,8.763157895,0,0,0,0,0,0,0,2,FCC
6.25,31.25,31.25,0,0,31.25,0,0,0,0,0,0,0,0,0,1,FCC
9.0909,18.1818,18.1818,0,18.1818,18.1818,0,0,0,18.1818,0,0,0,0,0,1,IM
0,12.987,12.987,0,12.987,25.974,0,0,0,15.5844,0,6.4935,12.987,0,0,1,IM
0,0,40,0,20,20,0,0,0,0,0,0,20,0,0,3,BCC+FCC
0,20.8333333,20.8333333,0,20.8333333,20.8333333,0,16.6666667,0,0,0,0,0,0,0,3,IM
0,5.283911672,0,5.283911672,5.283911672,5.283911672,0,0,0,78.86435331,0,0,0,0,0,4,IM
0,25.641,25.641,0,12.8205,12.8205,2.5641,0,0,20.5128,0,0,0,0,0,1,IM
15,40,20,0,0,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,40,0,0,25,0,0,10,0,0,0,0,0,0,0,1,BCC+FCC
10,40,0,0,0,30,0,0,0,0,0,20,0,0,0,1,BCC+FCC
10,0,15,35,40,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,0,0,25,30,30,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,35,20,0,30,15,0,0,0,0,0,0,0,0,0,4,FCC
0,15,0,40,35,10,0,0,0,0,0,0,0,0,0,3,FCC
0,20,0,35,30,15,0,0,0,0,0,0,0,0,0,4,FCC
0,30,0,25,35,0,0,0,0,0,0,0,10,0,0,4,FCC
0,0,0,0,0,0,35,10,0,15,40,0,0,0,0,3,BCC
0,0,0,0,0,0,0,25,0,0,5,0,0,35,35,4,BCC
10,5,15,40,30,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,20,10,25,30,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,25,15,30,15,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,25,25,15,20,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,30,20,30,5,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,25,15,15,25,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,25,15,25,15,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,20,15,25,15,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,25,15,15,20,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
30,25,10,5,30,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,5,25,15,0,40,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,20,25,10,0,30,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,25,15,35,0,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,40,10,15,0,20,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,40,15,25,0,5,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,15,20,30,0,15,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,20,15,10,0,30,0,0,0,0,0,0,0,0,0,1,BCC+FCC
10,20,15,40,0,0,0,0,0,0,0,0,15,0,0,1,BCC+FCC
15,35,25,20,0,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
5,30,5,0,30,30,0,0,0,0,0,0,0,0,0,3,FCC
10,20,5,0,30,35,0,0,0,0,0,0,0,0,0,3,FCC
10,30,10,0,30,20,0,0,0,0,0,0,0,0,0,3,FCC
30,5,10,0,20,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC
30,10,10,0,20,30,0,0,0,0,0,0,0,0,0,1,BCC+FCC
30,10,10,0,25,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
30,20,5,0,15,30,0,0,0,0,0,0,0,0,0,1,BCC+FCC
30,25,10,0,25,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
10,40,10,0,0,25,0,0,0,0,0,15,0,0,0,1,BCC+FCC
15,30,15,0,0,30,0,0,0,0,0,10,0,0,0,1,BCC+FCC
5,15,0,25,40,15,0,0,0,0,0,0,0,0,0,4,FCC
10,15,0,5,40,30,0,0,0,0,0,0,0,0,0,4,FCC
10,15,0,25,40,10,0,0,0,0,0,0,0,0,0,4,FCC
15,20,0,5,30,30,0,0,0,0,0,0,0,0,0,4,FCC
20,10,0,15,30,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
5,40,0,25,20,0,0,0,0,0,0,10,0,0,0,4,FCC
20,35,0,5,0,30,0,10,0,0,0,0,0,0,0,1,BCC+FCC
25,10,0,0,35,25,0,5,0,0,0,0,0,0,0,1,BCC+FCC
25,25,0,0,40,5,0,5,0,0,0,0,0,0,0,1,BCC+FCC
25,30,0,0,20,20,0,5,0,0,0,0,0,0,0,1,BCC+FCC
5,20,0,0,40,30,0,0,0,5,0,0,0,0,0,3,FCC
5,30,0,0,30,30,0,0,0,5,0,0,0,0,0,3,FCC
10,0,25,25,30,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,0,20,15,10,40,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,0,20,15,25,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,0,20,20,20,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,0,15,40,5,20,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,0,20,20,10,30,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,0,25,10,10,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,0,15,10,40,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
10,0,25,30,30,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
10,0,30,5,0,40,0,0,0,0,0,0,15,0,0,1,BCC+FCC
15,0,30,0,15,30,0,0,0,0,0,0,10,0,0,1,BCC+FCC
20,0,20,0,25,30,0,0,0,0,0,0,5,0,0,1,BCC+FCC
25,0,15,0,15,40,0,0,0,0,0,0,5,0,0,1,BCC+FCC
20,0,0,20,25,30,0,5,0,0,0,0,0,0,0,1,BCC+FCC
10,0,0,25,25,30,0,0,0,0,0,10,0,0,0,1,BCC+FCC
15,0,0,5,30,40,0,0,0,0,0,10,0,0,0,1,BCC+FCC
5,0,0,0,0,0,0,10,0,40,20,0,0,25,0,3,BCC
0,25,5,10,35,25,0,0,0,0,0,0,0,0,0,3,FCC
0,30,15,10,25,20,0,0,0,0,0,0,0,0,0,1,FCC
0,35,10,15,5,35,0,0,0,0,0,0,0,0,0,4,FCC
0,40,10,0,15,30,0,5,0,0,0,0,0,0,0,1,FCC
0,35,15,0,10,35,0,0,0,0,0,5,0,0,0,3,FCC
0,20,0,30,35,10,5,0,0,0,0,0,0,0,0,2,FCC
0,25,0,20,25,25,0,0,0,5,0,0,0,0,0,2,FCC
0,40,0,10,25,20,0,0,0,5,0,0,0,0,0,2,FCC
0,40,0,20,25,10,0,0,0,5,0,0,0,0,0,2,FCC
0,15,0,30,15,30,0,0,0,0,0,10,0,0,0,4,FCC
0,20,0,5,30,40,0,0,0,0,0,5,0,0,0,4,FCC
0,20,0,25,30,15,0,0,0,0,0,10,0,0,0,3,FCC
0,30,0,10,35,20,0,0,0,0,0,5,0,0,0,3,FCC
0,35,0,10,10,30,0,0,0,0,0,15,0,0,0,3,FCC
0,35,0,10,20,20,0,0,0,0,0,15,0,0,0,3,FCC
0,40,0,5,10,30,0,0,0,0,0,15,0,0,0,3,FCC
0,30,0,5,20,10,0,0,0,0,0,0,35,0,0,4,FCC
0,30,0,10,10,25,0,0,0,0,0,0,25,0,0,2,FCC
0,30,0,20,40,5,0,0,0,0,0,0,5,0,0,3,FCC
0,30,0,5,40,0,0,0,0,0,0,20,5,0,0,4,FCC
0,30,0,20,40,0,0,0,0,0,0,5,5,0,0,3,FCC
0,25,0,0,30,35,5,0,0,5,0,0,0,0,0,4,FCC
0,30,0,0,35,25,5,0,0,0,0,0,5,0,0,4,FCC
0,20,0,0,35,35,0,0,0,0,0,5,5,0,0,3,FCC
0,30,0,0,30,20,0,0,0,0,0,15,5,0,0,4,FCC
0,5,0,0,0,0,0,0,0,20,35,0,0,35,5,3,BCC
0,0,5,10,35,20,0,0,0,0,0,0,30,0,0,4,FCC
0,0,5,0,0,0,0,15,0,15,0,0,0,30,35,4,BCC
0,0,5,0,0,0,0,0,0,40,15,5,0,35,0,3,BCC
0,0,0,5,0,0,0,0,0,20,10,0,0,40,25,2,BCC
0,0,0,0,5,0,0,5,0,30,0,0,0,40,20,4,BCC
0,0,0,0,5,0,0,0,0,25,10,0,0,35,25,3,BCC
0,0,0,0,0,0,5,10,0,35,15,0,0,35,0,3,BCC
0,0,0,0,0,0,5,20,0,40,0,5,0,30,0,3,BCC
0,0,0,0,0,0,5,25,0,25,0,0,0,30,15,4,BCC
0,0,0,0,0,0,0,20,0,25,5,20,0,0,30,4,BCC
0,0,0,0,0,0,0,25,0,5,5,0,0,30,35,3,BCC
0,0,0,0,0,0,0,25,0,5,10,0,0,35,25,3,BCC
0,0,0,0,0,0,0,35,0,5,5,0,0,25,30,2,BCC
0,0,0,0,0,0,0,5,0,25,0,25,0,5,40,3,BCC
0,0,0,0,0,0,0,10,0,25,0,15,0,15,35,4,BCC
0,0,0,0,0,0,0,20,0,0,15,5,0,30,30,3,BCC
0,0,0,0,0,0,0,0,0,20,20,15,0,25,20,2,BCC
0,0,0,0,0,0,0,0,0,25,5,20,0,20,30,4,BCC
0,0,0,0,0,0,0,0,0,25,25,20,0,20,10,4,BCC
0,0,0,0,0,0,0,0,0,30,10,20,0,5,35,3,BCC
0,0,0,0,0,0,0,0,0,35,5,25,0,5,30,4,BCC
5,10,10,5,35,35,0,0,0,0,0,0,0,0,0,4,FCC
5,20,5,15,40,15,0,0,0,0,0,0,0,0,0,3,FCC
5,20,5,20,30,20,0,0,0,0,0,0,0,0,0,3,FCC
5,20,5,30,35,5,0,0,0,0,0,0,0,0,0,2,FCC
5,20,10,15,10,40,0,0,0,0,0,0,0,0,0,3,FCC
5,20,10,15,35,15,0,0,0,0,0,0,0,0,0,4,FCC
5,20,15,10,20,30,0,0,0,0,0,0,0,0,0,3,FCC
5,25,5,15,15,35,0,0,0,0,0,0,0,0,0,4,FCC
5,25,15,10,25,20,0,0,0,0,0,0,0,0,0,3,FCC
5,30,10,5,10,40,0,0,0,0,0,0,0,0,0,3,FCC
10,10,20,35,10,15,0,0,0,0,0,0,0,0,0,1,BCC+FCC
10,20,10,30,20,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
10,30,10,5,35,10,0,0,0,0,0,0,0,0,0,3,FCC
15,5,10,10,25,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,5,15,20,10,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,10,5,35,10,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,10,10,30,25,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,10,25,40,5,5,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,15,10,15,10,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,15,25,20,10,15,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,20,20,10,5,30,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,20,20,15,15,15,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,20,25,20,10,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,20,35,5,5,20,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,30,25,10,10,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
15,35,20,5,5,20,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,10,15,15,15,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,10,20,5,10,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,15,5,10,30,20,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,20,10,25,20,5,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,30,5,20,20,5,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,30,15,10,15,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
20,40,5,5,5,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,5,5,10,15,40,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,5,10,15,25,20,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,5,15,10,15,30,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,10,5,30,25,5,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,10,10,10,20,25,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,20,5,10,5,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC
25,25,15,10,15,10,0,0,0,0,0,0,0,0,0,1,BCC+FCC
10,20,15,30,20,0,0,5,0,0,0,0,0,0,0,1,BCC+FCC
10,25,5,30,25,0,0,5,0,0,0,0,0,0,0,1,BCC+FCC
15,35,5,15,20,0,0,10,0,0,0,0,0,0,0,1,BCC+FCC
15,35,10,15,15,0,0,10,0,0,0,0,0,0,0,1,BCC+FCC
20,20,10,20,25,0,0,5,0,0,0,0,0,0,0,1,BCC+FCC
25,25,10,10,25,0,0,5,0,0,0,0,0,0,0,1,BCC+FCC
10,25,15,20,25,0,0,0,0,0,0,5,0,0,0,1,BCC+FCC
15,20,15,10,30,0,0,0,0,0,0,10,0,0,0,1,BCC+FCC
15,35,10,5,20,0,0,0,0,0,0,15,0,0,0,1,BCC+FCC
20,25,10,15,25,0,0,0,0,0,0,5,0,0,0,1,BCC+FCC
20,40,10,5,15,0,0,0,0,0,0,10,0,0,0,1,BCC+FCC
5,40,5,5,40,0,0,0,0,0,0,0,5,0,0,2,FCC
10,5,5,35,40,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
10,20,20,20,25,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
10,25,25,25,10,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
10,25,30,15,10,0,0,0,0,0,0,0,10,0,0,1,BCC+FCC
15,15,30,20,15,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
20,35,15,15,10,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
25,10,20,15,25,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
25,15,15,20,20,0,0,0,0,0,0,0,5,0,0,1,BCC+FCC
15,40,10,5,0,25,0,5,0,0,0,0,0,0,0,1,BCC+FCC
20,20,10,10,0,35,0,5,0,0,0,0,0,0,0,1,BCC+FCC
10,30,15,15,0,20,0,0,0,0,0,10,0,0,0,1,BCC+FCC
15,30,10,25,0,15,0,0,0,0,0,5,0,0,0,1,BCC+FCC
20,35,10,5,0,25,0,0,0,0,0,5,0,0,0,1,BCC+FCC
15,10,15,40,0,10,0,0,0,0,0,0,10,0,0,1,BCC+FCC
15,35,25,5,0,10,0,0,0,0,0,0,10,0,0,1,BCC+FCC
20,15,15,20,0,25,0,0,0,0,0,0,5,0,0,1,BCC+FCC
20,25,10,30,0,10,0,0,0,0,0,0,5,0,0,1,BCC+FCC
20,25,30,5,0,10,0,0,0,0,0,0,10,0,0,1,BCC+FCC
10,25,5,0,15,35,0,10,0,0,0,0,0,0,0,1,BCC+FCC
15,40,10,0,10,15,0,10,0,0,0,0,0,0,0,1,BCC+FCC
20,15,10,0,25,25,0,5,0,0,0,0,0,0,0,1,BCC+FCC
20,30,10,0,5,30,0,5,0,0,0,0,0,0,0,1,BCC+FCC
25,25,5,0,30,10,0,5,0,0,0,0,0,0,0,1,BCC+FCC
25,30,5,0,10,25,0,5,0,0,0,0,0,0,0,1,BCC+FCC
25,30,5,0,30,5,0,5,0,0,0,0,0,0,0,1,BCC+FCC
30,35,5,0,20,5,0,5,0,0,0,0,0,0,0,1,BCC+FCC
10,20,10,0,30,10,0,0,0,0,0,20,0,0,0,1,BCC+FCC
10,25,10,0,10,35,0,0,0,0,0,10,0,0,0,1,BCC+FCC
15,5,15,0,35,15,0,0,0,0,0,15,0,0,0,1,BCC+FCC
15,15,15,0,10,40,0,0,0,0,0,5,0,0,0,1,BCC+FCC
15,25,10,0,30,10,0,0,0,0,0,10,0,0,0,1,BCC+FCC
15,30,20,0,5,25,0,0,0,0,0,5,0,0,0,1,BCC+FCC
20,15,10,0,10,40,0,0,0,0,0,5,0,0,0,1,BCC+FCC
20,40,10,0,10,15,0,0,0,0,0,5,0,0,0,1,BCC+FCC
10,30,25,0,5,20,0,0,0,0,0,0,10,0,0,1,BCC+FCC
20,5,15,0,30,25,0,0,0,0,0,0,5,0,0,1,BCC+FCC
20,10,20,0,25,20,0,0,0,0,0,0,5,0,0,1,BCC+FCC
20,20,35,0,5,15,0,0,0,0,0,0,5,0,0,1,BCC+FCC
20,40,10,0,5,20,0,0,0,0,0,0,5,0,0,1,BCC+FCC
10,25,20,0,20,0,5,0,0,0,0,0,0,20,0,2,IM
10,30,20,0,20,0,0,0,0,0,0,0,0,10,10,3,IM
10,40,5,0,0,25,0,0,0,0,0,15,5,0,0,1,BCC+FCC
15,30,25,0,0,15,0,0,0,0,0,5,10,0,0,1,BCC+FCC
5,30,20,0,0,0,15,5,0,0,0,0,0,25,0,2,IM
10,25,15,0,0,0,20,0,0,0,0,5,0,25,0,3,IM
10,35,10,0,0,0,25,0,0,0,0,0,0,15,5,3,IM
5,25,0,10,35,20,5,0,0,0,0,0,0,0,0,1,FCC
5,30,0,15,35,10,5,0,0,0,0,0,0,0,0,3,FCC
5,25,0,40,15,5,0,10,0,0,0,0,0,0,0,1,BCC+FCC
10,25,0,10,10,35,0,10,0,0,0,0,0,0,0,1,BCC+FCC
10,35,0,10,15,20,0,10,0,0,0,0,0,0,0,1,BCC+FCC
15,5,0,10,35,25,0,10,0,0,0,0,0,0,0,1,BCC+FCC
15,30,0,10,25,5,0,15,0,0,0,0,0,0,0,1,BCC+FCC
20,10,0,10,30,25,0,5,0,0,0,0,0,0,0,1,BCC+FCC
25,25,0,10,30,5,0,5,0,0,0,0,0,0,0,1,BCC+FCC
5,30,0,10,10,40,0,0,0,0,0,5,0,0,0,3,FCC
5,40,0,5,25,20,0,0,0,0,0,5,0,0,0,3,FCC
10,15,0,15,30,15,0,0,0,0,0,15,0,0,0,1,BCC+FCC
10,20,0,5,20,25,0,0,0,0,0,20,0,0,0,1,BCC+FCC
10,20,0,10,30,25,0,0,0,0,0,5,0,0,0,4,FCC
