Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Pm,Phase
22.49718785,0,0,20,15.0056243,20,0,22.49718785,0,0,0,0,0,0,0,3,FCC
0,17.2414,17.2414,0,17.2414,17.2414,0,13.7931,0,0,0,0,17.2414,0,0,1,BCC+FCC
20,0,0,0,0,0,0,20,0,20,0,20,0,0,20,2,IM
6.25,0,20.8333333,0,31.25,20.8333333,0,0,0,0,0,0,20.8333333,0,0,3,BCC
30.7692,0,15.3846,0,15.3846,15.3846,23.0769,0,0,0,0,0,0,0,0,1,BCC
0,11.6149285,23.26473666,0,23.26473666,34.87966516,0,6.975933031,0,0,0,0,0,0,0,4,FCC
14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,0,0,0,0,0,14.28571429,0,0,0,3,BCC+FCC
1.9608,19.6078,19.6078,19.6078,19.6078,19.6078,0,0,0,0,0,0,0,0,0,1,FCC
88.2353,2.9412,2.9412,0,2.9412,2.9412,0,0,0,0,0,0,0,0,0,1,BCC
0,0,0,0,0,0,6.9767442,23.255814,0,23.255814,0,23.255814,0,0,23.255814,3,BCC
0,13.6986,13.6986,0,13.6986,27.3973,0,0,0,10.9589,0,6.8493,13.6986,0,0,1,IM
0,27.3973,27.3973,0,13.6986,13.6986,2.7397,0,0,15.0685,0,0,0,0,0,1,IM
9.6154,19.2308,19.2308,13.4615,19.2308,19.2308,0,0,0,0,0,0,0,0,0,1,BCC+FCC
13.3333,0,13.3333,0,20,0,13.3333,13.3333,0,26.6667,0,0,0,0,0,1,IM
11.1111,0,11.1111,0,22.2222,0,11.1111,11.1111,11.1111,22.2222,0,0,0,0,0,1,IM
0,10,10,0,45,25,0,0,0,0,0,10,0,0,0,3,FCC
0,0,0,0,0,0,0,40,0,25,10,0,0,0,25,3,BCC
0,0,0,0,0,0,0,20,0,20,20,0,0,20,20,1,BCC
11.11111111,0,22.22222222,0,22.22222222,22.22222222,0,0,0,0,0,0,22.22222222,0,0,3,IM
0,0,15,0,37.5,37.5,0,0,0,0,0,0,10,0,0,3,BCC
0,0,0,0,0,0,11.1111111,22.2222222,0,22.2222222,0,22.2222222,0,0,22.2222222,3,BCC
25,12.5,12.5,12.5,12.5,12.5,0,12.5,0,0,0,0,0,0,0,1,BCC
18.1818,18.1818,18.1818,0,18.1818,18.1818,0,0,0,9.0909,0,0,0,0,0,1,IM
0,0,0,0,0,0,31.6456,0,5.0633,31.6456,31.6456,0,0,0,0,1,BCC
19.2307692,0,19.2307692,19.2307692,19.2307692,23.0769231,0,0,0,0,0,0,0,0,0,3,IM
0,16.66666667,16.66666667,0,33.33333333,33.33333333,0,0,0,0,0,0,0,0,0,4,FCC
9.090909091,0,0,0,0,0,0,18.18181818,0,18.18181818,18.18181818,0,0,18.18181818,18.18181818,3,BCC
0,0,0,0,0,0,0,25,0,12.5,12.5,0,0,25,25,3,BCC
10.6383,21.2766,21.2766,0,21.2766,21.2766,0,0,0,4.2553,0,0,0,0,0,1,IM
0,0,0,0,0,0,14.2857143,14.2857143,14.2857143,14.2857143,14.2857143,0,0,14.2857143,14.2857143,3,IM
0,0,24.3902,0,0,24.3902,0,24.3902,0,24.3902,2.439,0,0,0,0,1,IM
0,6.398809524,0,6.398809524,6.398809524,6.398809524,0,0,0,74.4047619,0,0,0,0,0,4,IM
0,0,0,0,0,0,25,25,0,0,25,25,0,0,0,3,BCC
0,11.11111111,0,11.11111111,11.11111111,11.11111111,0,0,0,55.55555556,0,0,0,0,0,4,IM
24.99375156,16.67083229,16.67083229,0,16.67083229,16.67083229,8.32291927,0,0,0,0,0,0,0,0,3,IM
12.987,12.987,12.987,0,35.0649,12.987,12.987,0,0,0,0,0,0,0,0,1,IM
18.1818,18.1818,18.1818,0,18.1818,18.1818,0,9.0909,0,0,0,0,0,0,0,1,BCC+FCC
0,0,0,0,0,0,0,25,0,25,0,25,0,0,25,3,BCC
27.2727273,0,0,0,0,0,18.1818182,18.1818182,0,18.1818182,0,18.1818182,0,0,0,3,BCC
0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,2,BCC
0,23.25581395,23.25581395,0,23.25581395,23.25581395,0,6.976744186,0,0,0,0,0,0,0,4,FCC
17.3913,17.3913,17.3913,0,17.3913,17.3913,13.0435,0,0,0,0,0,0,0,0,1,IM
5.005250263,0,12.00560028,0,35.00175009,19.9859993,0,0,0,0,0,0,28.00140007,0,0,3,FCC
15.38638985,15.38638985,15.38638985,0,15.38638985,15.38638985,0,23.06805075,0,0,0,0,0,0,0,3,IM
26.6667,0,0,0,13.3333,0,6.6667,13.3333,0,13.3333,0,0,26.6667,0,0,1,BCC+FCC
0,23.8095,23.8095,0,23.8095,23.8095,0,0,0,4.7619,0,0,0,0,0,1,IM
0,0,0,0,0,0,22.2222222,22.2222222,0,22.2222222,0,0,0,11.1111111,22.2222222,3,BCC
18.2927,12.1951,12.1951,0,32.9268,12.1951,12.1951,0,0,0,0,0,0,0,0,1,IM
0,0,0,0,0,0,17.5,25,0,25,0,7.5,0,0,25,3,BCC
23.5294118,0,0,0,0,0,0,23.5294118,0,23.5294118,0,23.5294118,0,0,5.8823529,3,IM
13,0,0,0,31,18,0,0,0,0,0,0,38,0,0,3,IM
0,0,0,0,0,0,0,28.9855072,0,28.9855072,28.9855072,0,0,0,13.0434783,3,BCC
0,0,25,0,0,0,0,25,0,25,25,0,0,0,0,3,BCC
0,59.06674542,22.74069699,0,9.096278795,9.096278795,0,0,0,0,0,0,0,0,0,4,IM
0,23.2558,23.2558,0,23.2558,23.2558,6.9767,0,0,0,0,0,0,0,0,1,IM
22.9885,11.4943,11.4943,0,31.0345,11.4943,11.4943,0,0,0,0,0,0,0,0,1,IM
25,25,0,0,25,25,0,0,0,0,0,0,0,0,0,3,BCC
16.6666667,16.6666667,16.6666667,0,16.6666667,16.6666667,0,0,0,0,0,16.6666667,0,0,0,3,BCC
0,23.2558,23.2558,0,23.2558,23.2558,0,0,0,6.9767,0,0,0,0,0,1,IM
26.6667,13.3333,13.3333,13.3333,13.3333,13.3333,0,6.6667,0,0,0,0,0,0,0,1,BCC
0,25,25,0,0,0,25,0,0,25,0,0,0,0,0,3,IM
12.5,0,0,0,0,0,0,25,0,25,12.5,0,0,0,25,4,IM
0,0,0,0,0,0,0,37.5,0,0,12.5,0,0,18.75,31.25,3,BCC
0,0,0,0,0,0,0,14.2857143,0,14.2857143,0,57.1428571,0,0,14.2857143,3,IM
12.5,0,12.5,0,18.75,0,12.5,12.5,0,31.25,0,0,0,0,0,1,IM
6.666666667,13.33333333,13.33333333,13.33333333,13.33333333,13.33333333,0,0,0,0,0,26.66666667,0,0,0,3,BCC
0,0,0,0,0,0,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,0,0,0,3,BCC
9.090909091,18.18181818,18.18181818,9.090909091,18.18181818,18.18181818,0,9.090909091,0,0,0,0,0,0,0,3,BCC+FCC
0,11.11111111,44.44444444,0,0,44.44444444,0,0,0,0,0,0,0,0,0,4,FCC
6.975933031,0,23.26473666,0,34.87966516,11.6149285,0,0,0,0,0,0,23.26473666,0,0,3,BCC+FCC
0,0,30,10,20,20,0,0,0,0,0,0,20,0,0,3,BCC+FCC
0,33.33333333,0,0,33.33333333,33.33333333,0,0,0,0,0,0,0,0,0,4,FCC
0,0,0,0,0,0,0,30.3030303,0,30.3030303,0,9.0909091,0,0,30.3030303,3,BCC
16.66666667,0,20.83333333,0,20.83333333,20.83333333,0,0,0,0,0,0,20.83333333,0,0,3,IM
0,23,20,0,20,17,0,0,0,0,0,0,20,0,0,3,FCC
20,0,0,0,0,0,20,20,0,20,0,20,0,0,0,1,BCC
0,0,0,0,0,0,31.25,20.8333333,0,20.8333333,0,6.25,0,0,20.8333333,3,BCC
0,0,20,0,20,0,20,20,0,20,0,0,0,0,0,3,IM
0,15.3846,15.3846,15.3846,15.3846,15.3846,0,23.0769,0,0,0,0,0,0,0,1,FCC
11.1,0,22.23333333,0,33.33333333,11.1,0,0,0,0,0,0,22.23333333,0,0,3,BCC
0,17.34605377,17.34605377,0,17.34605377,17.34605377,0,0,0,0,0,13.26973114,17.34605377,0,0,2,IM
7.470440702,14.92296668,14.92296668,14.92296668,14.92296668,14.92296668,0,0,0,0,0,17.9147259,0,0,0,3,BCC
16.6667,16.6667,16.6667,0,16.6667,16.6667,0,0,0,0,0,0,16.6667,0,0,1,BCC
0,17.2414,17.2414,0,17.2414,17.2414,17.2414,0,0,13.7931,0,0,0,0,0,1,IM
0,0,0,0,0,0,28.3286,0,15.0142,28.3286,28.3286,0,0,0,0,1,BCC
