Pm,ΔS,EWF,ad-e/n,δ-VEC,δ-EWF,δ-G,δ-G/B,Phase
3,12.3228,4.3805,0.0344,0.2137,0.0369,0.3027,0.2973,BCC+FCC
1,12.8124,4.7274,0.0489,0.3129,0.069,0.3498,0.2606,BCC+FCC
2,11.5257,4.4325,0.0417,0.1579,0.0278,0.5819,0.5099,BCC
3,10.8709,4.4564,0.0288,0.2681,0.0819,0.2352,0.1751,IM
3,14.1964,4.6482,0.0382,0.1814,0.0802,0.3027,0.3511,IM
3,14.8967,4.5917,0.0418,0.2277,0.0806,0.3241,0.3742,IM
1,13.3321,4.7105,0.064,0.2329,0.0683,0.3794,0.438,IM
1,14.7842,4.6661,0.0666,0.3228,0.0627,0.4316,0.3296,IM
3,13.8767,4.62,0.0494,0.4159,0.0728,0.5153,0.3795,IM
3,8.9254,4.2725,0.0388,0.0912,0.0198,0.2893,0.2141,IM
3,15.7177,4.6212,0.0666,0.3796,0.0653,0.5483,0.4667,IM
3,12.7077,4.2941,0.0537,0.1266,0.0065,0.3671,0.2275,BCC
3,11.4419,4.2365,0.0348,0.1118,0.0262,0.5134,0.2878,BCC
1,13.3809,4.686,0.0443,0.3447,0.0706,0.4454,0.3796,BCC
3,13.3321,4.3663,0.0369,0.2084,0.0279,0.6731,0.3072,BCC
1,14.5334,4.755,0.0525,0.209,0.0567,0.3601,0.3736,IM
3,13.2416,4.3583,0.0497,0.1989,0.0299,0.5931,0.2654,BCC
3,13.3809,4.406,0.0546,0.2422,0.0277,0.5533,0.3423,IM
3,12.7202,4.4708,0.0315,0.2706,0.0692,0.2862,0.2103,IM
3,11.0032,4.4567,0.03,0.278,0.0838,0.2442,0.1791,IM
1,14.5318,4.5771,0.0536,0.4388,0.0718,0.5728,0.417,IM
3,18.2134,4.5442,0.0558,0.3504,0.0724,0.4545,0.413,IM
1,13.3809,4.74,0.0803,0.2051,0.0587,0.407,0.3501,IM
3,11.5257,4.3825,0.0336,0.1414,0.0288,0.6434,0.3359,BCC
1,13.3644,4.7546,0.0622,0.2027,0.0578,0.3326,0.3596,IM
3,14.6972,4.2055,0.0374,0.1442,0.0477,0.6826,0.3386,BCC
4,12.5719,4.5159,0.032,0.2584,0.0785,0.2523,0.1983,FCC
3,12.318,4.2639,0.0347,0.1424,0.0362,0.7391,0.3485,BCC
1,12.8852,4.5586,0.0578,0.3883,0.0595,0.4544,0.2281,BCC
3,15.9242,4.6784,0.0535,0.326,0.0637,0.4697,0.4187,BCC+FCC
3,12.5998,4.2509,0.0333,0.1283,0.0313,0.6264,0.3392,IM
1,12.8351,4.6931,0.0572,0.3026,0.069,0.4469,0.4463,BCC+FCC
4,12.8404,4.1815,0.0387,0.1066,0.0386,0.4678,0.2405,BCC
1,14.8391,4.6958,0.0447,0.3222,0.0649,0.4341,0.3782,BCC+FCC
3,14.859,4.6992,0.0636,0.2477,0.0625,0.3957,0.4215,IM
3,14.4319,4.1725,0.043,0.1332,0.0389,0.4833,0.2757,BCC
1,14.865,4.6688,0.0648,0.3263,0.0638,0.4368,0.3366,IM
1,13.2066,4.5518,0.0356,0.3108,0.0911,0.346,0.3287,FCC
1,13.1452,4.7333,0.0557,0.2191,0.0666,0.3658,0.4267,IM
3,14.3353,4.1867,0.0373,0.1312,0.0443,0.6269,0.3116,BCC
