Pm,ΔS,ad-e/n,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,Phase
3,15.9953,0.0509,60.9877,24.9282,0.0666,0.0652,0.6276,0.4115,IM
3,15.9731,0.0617,59.0346,28.6152,0.082,0.0649,0.7067,0.5136,IM
1,11.5257,0.0874,13.75,21.975,0.0985,0.0825,0.2041,0.4319,IM
3,14.5111,0.0497,61.7864,24.443,0.0585,0.0597,0.6082,0.3818,IM
3,13.1452,0.0492,76.3951,33.7481,0.094,0.0545,0.6373,0.5043,IM
1,14.8967,0.0776,86.6668,33.5501,0.1382,0.0581,0.7022,0.4082,BCC
1,14.7842,0.0501,64.3076,27.5834,0.07,0.0666,0.8139,0.4757,BCC+FCC
4,12.5685,0.0384,62.6531,22.6599,0.0618,0.0633,0.5357,0.3675,FCC
3,12.9664,0.0397,50.875,21.875,0.1788,0.0552,0.429,0.8489,BCC
1,12.5685,0.041,63.1519,20.034,0.0648,0.0603,0.5096,0.3333,IM
1,12.9758,0.0508,31.6667,23.2667,0.0682,0.0707,0.5697,0.3778,BCC+FCC
3,13.2539,0.0331,50.6446,28.6645,0.1947,0.0561,0.4246,0.8443,BCC
3,12.724,0.0273,58.4688,37.9974,0.1849,0.0449,0.4876,0.765,BCC
1,12.2227,0.0491,50.8163,21.9694,0.0708,0.0661,0.5649,0.3518,BCC+FCC
3,10.4995,0.0958,31.255,27.404,0.1249,0.0912,0.5959,0.5859,IM
4,11.3908,0.0301,61.4107,18.6018,0.0475,0.0612,0.516,0.3163,FCC
3,11.5257,0.0402,40.75,16.8875,0.0734,0.0408,0.3635,0.5606,BCC
1,14.8548,0.0622,63.5917,28.2208,0.0726,0.0723,0.7003,0.4626,IM
2,12.2283,0.0361,22.6,26.77,0.0294,0.0177,0.4152,0.7085,IM
1,11.3575,0.0506,76.2038,30.9383,0.0716,0.0709,0.7636,0.471,BCC+FCC
1,11.3812,0.0532,61.2345,30.8345,0.1446,0.0311,0.8217,0.5871,IM
1,14.3159,0.0601,66.74,23.522,0.0793,0.057,0.5101,0.3478,IM
3,12.6016,0.0465,41.8182,10.3669,0.0794,0.0344,0.4123,0.3633,BCC
3,12.5061,0.0305,138.7397,12.0298,0.0769,0.0699,0.8763,0.2579,IM
1,12.8253,0.0809,12.1687,31.232,0.0859,0.075,0.176,0.5233,IM
3,13.2539,0.0386,29.719,31.1901,0.0252,0.0205,0.5011,0.6299,IM
3,12.1979,0.0373,37.4182,9.7775,0.0331,0.01,0.6096,0.2961,IM
1,12.9758,0.0767,76.1113,29.5445,0.1296,0.072,0.8256,0.4221,IM
1,14.6437,0.0517,63.5987,27.6895,0.0716,0.0673,0.846,0.4897,BCC+FCC
2,11.5257,0.039,65.625,46.425,0.1405,0.0291,0.8136,0.641,BCC
1,11.5257,0.0257,60,35.8875,0.1852,0.0451,0.5131,0.8133,BCC
3,12.5685,0.0521,53.2653,20.4331,0.0709,0.0722,0.4318,0.3369,IM
3,12.9757,0.042,42.4444,24.15,0.1523,0.0369,0.4093,0.673,BCC
4,9.9232,0.0194,164.56,8.81,0.0811,0.0632,0.5846,0.2102,FCC
3,11.5257,0.0245,35.75,15.325,0.086,0.0388,0.2969,0.4667,BCC
3,10.5591,0.0272,188.721,9.9999,0.0875,0.0814,0.7679,0.2157,IM
3,9.1339,0.0281,174.4444,1.9333,0.0875,0.0944,0.7899,0.0268,FCC
1,14.6972,0.0473,68.4627,27.8049,0.0667,0.0602,0.7541,0.4718,BCC+FCC
1,13.1452,0.0831,12.5926,29.9753,0.0868,0.0748,0.1819,0.5105,IM
3,13.1545,0.0337,53.2041,37.7673,0.1789,0.0432,0.4478,0.7052,IM
3,14.2323,0.053,81.3254,30.2083,0.0813,0.0663,0.6254,0.4777,IM
3,13.3081,0.0393,47.6234,24.144,0.1547,0.0382,0.4462,0.7274,BCC
3,11.2387,0.0309,75.0204,22.3755,0.0529,0.0694,0.6374,0.3645,BCC+FCC
2,13.3809,0.0356,91.2,46.008,0.1946,0.0321,0.6236,0.6071,BCC
1,5.9458,0.0114,15.1284,13.3572,0.0692,0.0189,0.2484,0.3741,BCC
1,12.9758,0.0382,63.8334,24.6111,0.0625,0.0666,0.6287,0.4002,BCC
3,11.5144,0.0462,40.6972,25.3341,0.0702,0.0708,0.6298,0.4131,IM
3,12.9664,0.0461,54.625,20.8375,0.1578,0.0519,0.478,0.6867,BCC
1,13.716,0.0546,56.1824,20.2442,0.082,0.058,0.4902,0.346,BCC
1,14.5334,0.0418,133,16.772,0.0815,0.0768,1.0199,0.3111,BCC+FCC
3,9.6495,0.0187,169.767,8.0597,0.0822,0.0633,0.5596,0.1997,FCC
3,13.1452,0.0431,80.2469,19.1556,0.0626,0.0643,0.8006,0.3978,IM
2,13.3809,0.0314,52.8,32.832,0.1732,0.041,0.4908,0.6935,IM
3,15.9953,0.0567,61.0683,28.1451,0.0771,0.0642,0.7021,0.4855,IM
3,15.8208,0.0653,57.0651,28.8034,0.0856,0.0652,0.7096,0.5375,IM
3,13.3507,0.0424,77.6389,20.2917,0.0617,0.0667,0.8025,0.3945,IM
4,12.9774,0.0372,62.2525,19.8279,0.0553,0.0643,0.6198,0.331,FCC
3,12.2615,0.0476,67.0178,29.908,0.0734,0.0732,0.9572,0.5506,BCC
3,11.6207,0.0366,40.5882,13.2907,0.1054,0.0318,0.4224,0.5849,BCC
3,13.2539,0.0365,57.686,28.5421,0.1868,0.0547,0.4821,0.8333,BCC
1,15.7145,0.0542,63.0391,26.9184,0.0688,0.0655,0.7477,0.4521,BCC+FCC
1,13.3809,0.0861,13.2,27.232,0.088,0.0739,0.1895,0.4822,IM
3,12.9757,0.0705,60.5556,21.2222,0.0824,0.0695,0.4812,0.3498,IM
2,13.6693,0.0453,70.3599,26.6146,0.0695,0.0671,0.6048,0.4278,FCC
1,10.5067,0.0461,77.8516,28.2734,0.0659,0.0632,0.6685,0.4174,FCC
1,14.6972,0.0683,61.19,27.0876,0.0721,0.0715,0.6249,0.4335,IM
1,15.6118,0.0637,108.5881,20.7701,0.0815,0.0843,0.8465,0.338,IM
3,11.0757,0.0348,128.4,16.128,0.0754,0.0742,0.9102,0.1754,BCC+FCC
3,13.3507,0.053,62.7083,28.25,0.0771,0.0672,0.574,0.4537,IM
4,6.724,0.0741,23.4686,7.8995,0.0694,0.0557,0.4677,0.2768,IM
1,13.6642,0.0711,66.9164,29.2844,0.0779,0.0666,0.5425,0.439,IM
3,13.1452,0.0416,55.2593,22,0.0606,0.0666,0.489,0.3467,IM
3,13.2416,0.065,57.0321,22.9735,0.0835,0.0696,0.4166,0.3746,IM
3,13.2952,0.0725,60.2343,23.0667,0.0868,0.0687,0.4386,0.371,IM
3,10.9812,0.0349,32.8109,18.1376,0.0712,0.0287,0.3456,0.5747,IM
3,11.5257,0.0369,66.875,34.6875,0.1454,0.0296,0.8387,0.7467,BCC
3,10.0849,0.0437,43.9062,4.925,0.078,0.0388,0.4667,0.2597,BCC
1,14.6972,0.0732,58.2148,27.6727,0.0774,0.0704,0.565,0.448,IM
1,14.8548,0.0384,132.552,22.7388,0.0798,0.0815,0.869,0.3802,BCC+FCC
1,14.2323,0.0809,71.9525,29.6544,0.1322,0.073,0.8169,0.4504,IM
3,14.2323,0.05,66.6982,25.1787,0.0806,0.0641,0.6083,0.4075,IM
3,13.1452,0.0468,42.716,11.1111,0.0741,0.0253,0.478,0.3591,IM
3,13.2955,0.0511,34.5679,25.0247,0.0693,0.0674,0.5927,0.4014,IM
1,5.8831,0.0126,109.725,6.9811,0.0687,0.0672,0.344,0.1677,BCC
1,13.011,0.0529,31.9526,25.6379,0.0721,0.0726,0.6249,0.4159,BCC+FCC
2,11.9243,0.0412,60.1562,17.4753,0.0559,0.0645,0.5767,0.3047,IM
3,13.2066,0.0719,60.5102,22.4209,0.0853,0.0691,0.4541,0.3635,IM
3,10.9534,0.0302,191.558,12.3119,0.0886,0.0856,0.8154,0.244,IM
3,11.5257,0.0551,55,36.45,0.1537,0.0311,0.5433,0.4842,BCC
3,15.7618,0.0472,63.0796,25.4467,0.064,0.0637,0.6555,0.4126,BCC+FCC
3,9.1339,0.0385,13.3333,16.4,0.0266,0.0077,0.2041,0.4236,BCC
1,15.5993,0.0605,110.2397,20.2222,0.0812,0.0844,0.8416,0.3312,IM
1,14.6972,0.0554,74.6445,28.9917,0.0877,0.0677,0.677,0.4479,BCC
3,14.5338,0.056,72.5936,27.0521,0.0849,0.0699,0.6893,0.4259,IM
3,12.7077,0.0352,60.5952,31.0505,0.141,0.0285,0.5733,0.6552,BCC
3,13.3809,0.0728,58.4,23.248,0.0852,0.0517,0.5641,0.3012,FCC
1,13.3809,0.0544,75.2,41.944,0.2183,0.0475,0.4735,0.4931,IM
3,12.5685,0.0483,55.5782,30.1678,0.1526,0.0307,0.5224,0.5684,BCC
3,15.9242,0.0489,62.0317,25.1975,0.0654,0.0645,0.6411,0.4121,IM
3,12.5108,0.1039,51.92,23.668,0.1398,0.0941,0.6413,0.5972,IM
1,10.4492,0.0258,184.3579,14.6276,0.0892,0.0887,0.5727,0.2614,FCC
3,11.7465,0.0392,44.0208,20.7454,0.0622,0.0576,0.5317,0.3399,IM
3,13.2542,0.0404,45.8236,26.3043,0.1588,0.0386,0.4294,0.7013,BCC
4,10.5906,0.0288,41.3332,14.1032,0.0543,0.0533,0.3689,0.2826,IM
1,14.8967,0.0659,61.778,28.0834,0.0735,0.0724,0.6956,0.4664,IM
1,14.5342,0.0662,79.1668,36.2917,0.1469,0.0634,0.8899,0.559,IM
3,12.4462,0.0348,25.5072,16.133,0.0675,0.0301,0.3429,0.4455,BCC
3,11.5257,0.0432,50.375,18.6,0.0602,0.0736,0.4393,0.2966,FCC
3,12.6884,0.0472,71.8596,25.3648,0.067,0.0564,0.4614,0.3936,FCC
1,14.3353,0.0505,72.4897,28.5932,0.0796,0.0691,0.6949,0.4483,BCC
3,13.2283,0.0593,78.2496,7.8422,0.0783,0.0697,0.7177,0.2422,IM
3,14.4228,0.0565,50.8122,28.5423,0.101,0.0663,0.6811,0.4515,IM
1,13.2539,0.0729,68.1983,25.6132,0.0901,0.0555,0.4493,0.3238,IM
3,11.0707,0.0494,31.3149,17.436,0.0728,0.0671,0.373,0.3136,BCC
1,12.8124,0.0353,61.3482,22.7658,0.0595,0.0654,0.5843,0.3745,BCC+FCC
1,14.5342,0.0518,66.5001,30.5584,0.077,0.0723,0.7909,0.523,BCC
1,14.8967,0.0469,65.1113,27.0501,0.0662,0.0646,0.755,0.448,BCC+FCC
1,12.9758,0.0527,55.6668,29.5889,0.0772,0.0644,0.5684,0.451,IM
3,10.6859,0.025,69.3491,20.9183,0.0416,0.0644,0.5708,0.3318,FCC
1,12.8253,0.0438,65.2352,32.0735,0.1181,0.0271,0.6221,0.4364,BCC
3,11.7645,0.0389,83.83,17.1645,0.0652,0.069,0.7848,0.3015,FCC
3,10.7941,0.0248,150.436,4.7853,0.0806,0.0867,0.7617,0.1298,FCC
3,12.8584,0.0431,69.0744,25.7008,0.0674,0.065,0.5729,0.412,BCC
1,15.8417,0.0626,55.5432,27.4727,0.0845,0.0668,0.848,0.5716,BCC
3,11.5257,0.0361,36.5,9.625,0.021,0.0041,0.6119,0.2879,BCC
1,14.689,0.0646,62.435,26.9505,0.0709,0.0711,0.626,0.4281,IM
3,11.5257,0.0666,68.625,35.025,0.1567,0.0215,0.4774,0.3943,IM
1,14.4071,0.0901,61.5625,31.2875,0.1344,0.0734,0.7884,0.5061,IM
3,9.1339,0.0423,78,25.9778,0.0614,0.0569,0.6129,0.3827,FCC
3,14.6101,0.0578,78.2007,30.8451,0.0911,0.0692,0.7118,0.4677,IM
3,14.8967,0.0614,68.4444,21.0222,0.0829,0.0699,0.81,0.464,BCC+FCC
1,10.9149,0.0292,76.6892,36.8754,0.1819,0.0352,0.5307,0.4688,BCC
2,11.5257,0.0555,26.25,14.425,0.0288,0.0068,0.4941,0.4332,IM
1,14.2129,0.0467,68.08,28.2512,0.0705,0.0701,0.6872,0.4516,BCC+FCC
1,12.8852,0.0787,73.8774,28.0816,0.0848,0.0743,0.6654,0.5011,BCC+FCC
1,13.1452,0.0618,75.7036,26.7999,0.1025,0.06,0.5479,0.392,IM
3,11.5257,0.0809,16.25,19.5,0.0959,0.0753,0.4111,0.5106,FCC
3,11.5257,0.0588,45.5,5.1875,0.083,0.0418,0.7021,0.2104,BCC
3,13.3809,0.0407,52.24,38.88,0.1307,0.0277,0.508,0.5773,BCC
3,12.8276,0.0425,49.1063,6.4507,0.0909,0.0422,0.4794,0.2769,BCC
1,14.5409,0.0879,64.7109,30.0178,0.1343,0.0736,0.7981,0.4912,IM
3,13.2539,0.0588,53.2562,5.1736,0.0896,0.0391,0.6816,0.2436,IM
1,14.221,0.0549,172.9081,27.3072,0.1022,0.0359,0.9598,0.513,BCC+FCC
3,11.2961,0.0329,183.579,16.9966,0.0865,0.0829,0.9059,0.3007,IM
3,13.3809,0.0524,69.84,35.976,0.1855,0.0242,0.6511,0.6881,BCC
3,14.5334,0.0535,76.1,31.208,0.0907,0.0632,0.6602,0.4736,IM
3,13.357,0.0729,59.7352,23.7498,0.0885,0.0681,0.4212,0.3789,IM
3,13.2836,0.0325,136.8889,14.597,0.0772,0.0655,0.8814,0.2925,BCC
1,14.2216,0.0422,63.2842,24.9379,0.0586,0.0579,0.6169,0.3931,IM
3,12.6477,0.0329,50.2216,22.6122,0.1559,0.0392,0.4826,0.7863,BCC
3,13.1452,0.0319,49.3333,32.721,0.2048,0.0599,0.4028,0.7999,BCC
3,14.6972,0.0383,124.595,18.1421,0.0785,0.0813,0.7413,0.3126,FCC
1,14.7411,0.0757,66.0433,25.3356,0.0944,0.0619,0.4947,0.3725,IM
1,14.8707,0.0534,60.9632,27.5113,0.0742,0.0615,0.6361,0.4569,IM
3,12.0169,0.0341,71.7125,22.7277,0.0584,0.0682,0.5993,0.3741,IM
1,11.2387,0.0377,63.2652,30.1142,0.1579,0.0338,0.6275,0.5077,IM
3,12.4921,0.0364,80.3748,10.2548,0.0733,0.0787,0.9224,0.244,IM
1,12.8253,0.0368,65.7544,23.3077,0.0596,0.0653,0.5866,0.373,FCC
1,12.5596,0.0329,181.0925,19.0468,0.0912,0.0925,0.7337,0.3176,FCC
1,11.5257,0.0477,38.75,6.85,0.0743,0.0262,0.6381,0.2878,IM
3,5.7628,0.0119,94,21.4,0.0079,0.0148,0.5912,0.3463,FCC
3,15.9085,0.0636,58.0397,28.7388,0.0839,0.0651,0.7083,0.526,IM
1,14.8967,0.0528,28.5001,27.989,0.0713,0.0692,0.5016,0.5655,IM
1,14.3281,0.0435,68.2405,27.1036,0.0657,0.0679,0.695,0.4307,BCC+FCC
3,13.3448,0.0571,53.1338,5.3968,0.0903,0.0397,0.647,0.2496,IM
1,11.5257,0.0458,61.875,30.625,0.1508,0.0324,0.7346,0.5541,IM
3,12.1979,0.0364,62.6413,19.7894,0.0596,0.0607,0.5145,0.3317,FCC
3,13.1452,0.0378,52.2963,33.6,0.2059,0.0601,0.4282,0.8499,BCC
3,12.4921,0.0378,79.5917,10.3692,0.0746,0.0785,0.9113,0.2483,IM
1,9.5922,0.0195,97.3469,11.7959,0.0629,0.0535,0.6208,0.2492,BCC+FCC
3,11.5257,0.0449,34.875,14.4,0.0758,0.0412,0.4134,0.4325,BCC
3,13.2112,0.1078,64.4722,17.7583,0.1457,0.0904,0.6429,0.5663,IM
1,12.6016,0.041,57.5536,18.6579,0.0591,0.0681,0.5406,0.3105,IM
3,13.4679,0.0442,74.2156,25.0825,0.0699,0.0709,0.684,0.4135,IM
1,13.1452,0.0598,73.3332,25.2,0.0846,0.075,0.6943,0.4816,BCC+FCC
1,13.2539,0.0467,69.785,29.4479,0.0707,0.0724,0.7865,0.4819,BCC+FCC
1,6.4197,0.0141,120.4559,7.7928,0.0719,0.0704,0.3681,0.1784,BCC+FCC
3,13.3809,0.068,32.8,23.56,0.0873,0.0682,0.6554,0.4786,FCC
1,10.8339,0.0439,62.6666,27.5555,0.072,0.0707,1.1159,0.5935,FCC
3,15.5451,0.0529,65.7089,29.5546,0.0761,0.0697,0.7351,0.4943,BCC
4,10.6573,0.03,75.5805,26.9668,0.0496,0.0551,0.469,0.4212,IM
4,13.1452,0.0492,68.8889,19.284,0.0501,0.0622,0.6275,0.3226,IM
3,12.4815,0.027,122.4,16.0656,0.0736,0.0707,0.6692,0.2967,IM
2,9.1339,0.0315,35.5556,8.7333,0.0777,0.0297,0.3992,0.3352,BCC
3,15.5993,0.0677,55.1644,28.7893,0.0882,0.0653,0.7115,0.5584,IM
1,13.3809,0.0295,83.2,53.928,0.2185,0.0451,0.5633,0.7747,IM
3,14.677,0.0568,48.7075,31.454,0.104,0.0658,0.6804,0.4927,IM
3,14.5338,0.0544,79.0767,29.9044,0.0843,0.0671,0.6517,0.4649,IM
3,14.8159,0.1186,65.79,18.217,0.1567,0.102,0.6105,0.5422,IM
4,10.1449,0.0452,27.7988,13.3002,0.0679,0.0705,0.3824,0.2528,FCC
1,13.3321,0.0722,81.7949,29.9457,0.1134,0.0593,0.5469,0.4025,IM
3,13.3809,0.0506,33.04,26.016,0.076,0.0335,0.3377,0.69,IM
3,11.1836,0.0367,30.2,14.324,0.0677,0.0267,0.377,0.5047,BCC
1,12.6016,0.0503,54.7107,31.5835,0.0974,0.0671,0.8225,0.4919,BCC
1,12.9664,0.0328,76.375,21.5125,0.0506,0.0659,0.686,0.3617,FCC
3,13.2556,0.0475,85.2272,27.4685,0.0724,0.0707,0.7243,0.4587,BCC+FCC
3,13.3809,0.0592,40.72,27.576,0.0976,0.0507,0.3913,0.7733,IM
1,11.0999,0.0487,85.54,32.47,0.07,0.068,0.7091,0.4952,BCC+FCC
1,10.0236,0.0412,97.24,24.214,0.0656,0.0681,0.7703,0.4555,BCC+FCC
1,11.4419,0.0392,75.985,23.8835,0.0656,0.0764,0.77,0.4002,BCC+FCC
1,10.1769,0.0434,87.595,23.6125,0.068,0.0743,0.851,0.4243,BCC+FCC
1,10.3061,0.0465,53.48,15.888,0.0628,0.0656,0.3555,0.3283,BCC+FCC
1,10.3824,0.0484,15.25,23.795,0.0653,0.0681,0.3704,0.3968,BCC+FCC
3,11.4419,0.0344,59.11,16.926,0.0537,0.0625,0.5322,0.3012,FCC
1,10.8536,0.0354,76.105,24.8325,0.0547,0.0571,0.5649,0.3803,FCC
4,11.0999,0.0253,60.95,17.2635,0.0185,0.0585,0.5809,0.2641,FCC
2,10.1769,0.028,69.17,18.936,0.0363,0.0547,0.5298,0.3126,FCC
2,10.8536,0.0292,61.65,19.064,0.0434,0.0648,0.5033,0.2949,FCC
2,10.3824,0.0341,74.32,19.7165,0.0511,0.0632,0.5106,0.3294,FCC
1,10.782,0.0487,134.49,23.3055,0.0904,0.0847,0.8398,0.3977,BCC+FCC
1,13.1708,0.0474,76.7,27.249,0.0649,0.0523,0.7363,0.4991,BCC+FCC
1,12.4412,0.0505,81.075,18.362,0.0663,0.0538,0.8492,0.4791,BCC+FCC
1,12.8408,0.0495,49.81,27.217,0.0649,0.0619,0.8116,0.4442,BCC+FCC
1,13.0871,0.0585,53.31,27.731,0.0724,0.0632,0.8976,0.5062,BCC+FCC
1,11.217,0.0417,97.84,22.835,0.0654,0.068,0.7789,0.4584,BCC+FCC
1,12.2237,0.0409,78.7,24.829,0.0647,0.0735,0.7638,0.4147,BCC+FCC
1,12.5945,0.0429,61.16,24.948,0.0678,0.0737,0.7271,0.4108,BCC+FCC
1,12.8408,0.0474,55.37,26.1625,0.071,0.0762,0.7656,0.425,BCC+FCC
1,12.377,0.0523,54.42,30.096,0.0745,0.0765,0.832,0.4671,BCC+FCC
1,11.9774,0.0491,77.75,27.245,0.0722,0.0763,0.8514,0.4664,BCC+FCC
1,12.9245,0.0422,78.25,26.905,0.0671,0.071,0.7228,0.4651,BCC+FCC
1,13.0871,0.0459,65.76,30.21,0.0704,0.07,0.7973,0.4912,BCC+FCC
1,12.5945,0.0437,80.75,27.1855,0.0688,0.0697,0.7566,0.493,BCC+FCC
1,12.6521,0.0484,67.92,29.106,0.0738,0.059,0.5663,0.5247,BCC+FCC
1,11.5758,0.0436,78.24,33.012,0.0675,0.0596,0.5589,0.5248,BCC+FCC
1,11.9058,0.0504,73.37,26.737,0.0705,0.0727,0.7667,0.4321,BCC+FCC
1,12.6875,0.0533,86.365,26.4805,0.0736,0.0753,0.7192,0.5064,BCC+FCC
1,12.8408,0.0455,131.955,24.71,0.0813,0.0833,0.9243,0.3912,BCC+FCC
1,12.9245,0.045,133.7,25.8615,0.0817,0.0836,0.8812,0.4083,BCC+FCC
1,11.8937,0.0504,69.31,27.6105,0.0772,0.079,1.0577,0.4192,BCC+FCC
1,12.6875,0.0508,110.05,26.404,0.0823,0.0856,1.0845,0.424,BCC+FCC
1,12.9458,0.0464,115.04,30.328,0.0786,0.0802,0.9971,0.4636,BCC+FCC
1,12.8408,0.0449,119.4,31.633,0.0776,0.0784,0.9404,0.4864,BCC+FCC
1,12.2237,0.0461,97,33.2755,0.0743,0.0739,0.9075,0.492,BCC+FCC
1,11.7645,0.0464,110.02,31.414,0.0746,0.0735,0.7887,0.5391,BCC+FCC
3,12.482,0.0271,79.65,19.204,0.035,0.0564,0.6649,0.3429,FCC
4,12.1233,0.0344,65.605,20.115,0.0453,0.0552,0.6341,0.3354,FCC
4,12.5945,0.029,77.035,21.405,0.0461,0.0639,0.6411,0.3578,FCC
1,11.9774,0.0427,61.34,23.15,0.0665,0.0772,0.7899,0.3802,BCC+FCC
1,12.3696,0.0504,83.36,14.611,0.0747,0.0612,0.628,0.4186,BCC+FCC
3,11.4299,0.0335,67.6,19.669,0.0495,0.063,0.557,0.3275,FCC
1,12.9821,0.0509,74.325,24.4455,0.077,0.0713,0.659,0.4585,BCC+FCC
1,11.7645,0.0465,79.325,24.325,0.0715,0.0752,0.8119,0.4228,BCC+FCC
1,11.8937,0.0541,86.195,23.602,0.0789,0.0764,0.8217,0.4613,BCC+FCC
1,12.482,0.0477,75.72,24.715,0.0736,0.0781,0.8045,0.4344,BCC+FCC
4,11.4995,0.028,63.96,20.238,0.0445,0.0659,0.534,0.3195,FCC
3,10.9586,0.0251,65.4,20.89,0.043,0.0633,0.4444,0.3461,FCC
1,12.0349,0.0463,53.8,19.4485,0.0671,0.0791,0.5837,0.3139,BCC+FCC
4,12.2933,0.0248,146.34,15.855,0.0846,0.0874,0.6719,0.2652,FCC
4,11.8937,0.0253,145.29,18.251,0.0828,0.0784,0.6652,0.3009,FCC
1,12.1233,0.054,124.45,21.3775,0.0891,0.0825,0.8057,0.4539,BCC+FCC
1,12.2237,0.0479,35.85,22.986,0.0571,0.0503,0.5071,0.3598,BCC+FCC
1,12.8408,0.0516,29.725,24.208,0.0639,0.0614,0.5213,0.3803,BCC+FCC
1,12.2237,0.0435,46.2,21.266,0.0579,0.0608,0.6018,0.3496,BCC+FCC
1,13.0295,0.0479,39.225,23.647,0.0687,0.0682,0.593,0.3872,BCC+FCC
1,13.0295,0.0506,41.25,27.004,0.0679,0.051,0.623,0.435,BCC+FCC
1,12.5825,0.053,31.5,25.325,0.0733,0.076,0.6318,0.4121,BCC+FCC
1,12.3696,0.0508,112,23.335,0.0782,0.0432,1.1212,0.3939,BCC+FCC
1,12.5108,0.0493,85.9,26.228,0.0732,0.0369,1.0696,0.4008,BCC+FCC
1,11.1762,0.0434,44.2,18.578,0.0702,0.0739,0.5049,0.3342,BCC+FCC
1,11.2766,0.0448,45.4,21.1775,0.0707,0.0766,0.5981,0.3617,BCC+FCC
1,11.3007,0.0508,39.15,23.777,0.0756,0.0808,0.6511,0.3961,BCC+FCC
1,12.4412,0.0416,39.08,21.222,0.0616,0.0521,0.3977,0.3462,BCC+FCC
1,11.6353,0.0432,46.71,17.63,0.0654,0.0767,0.525,0.304,BCC+FCC
1,12.482,0.0445,63.2,19.51,0.0733,0.077,0.9924,0.3521,BCC+FCC
1,11.6353,0.0474,42,21.028,0.0728,0.0719,0.5037,0.3521,BCC+FCC
1,12.047,0.0448,41.1,20.436,0.0601,0.0665,0.5759,0.3334,BCC+FCC
1,11.8937,0.0461,31.4,20.62,0.0608,0.0649,0.5822,0.3499,BCC+FCC
1,12.0349,0.0511,25.725,21.0135,0.0671,0.0675,0.6058,0.3758,BCC+FCC
1,11.2766,0.0429,46.375,21.469,0.0694,0.0761,0.6193,0.355,BCC+FCC
1,11.2766,0.047,48.46,21.287,0.0717,0.0784,0.5967,0.3528,BCC+FCC
4,12.8408,0.0321,62.71,19.572,0.0454,0.0599,0.575,0.32,FCC
2,11.3007,0.0225,67.75,18.177,0.0308,0.0573,0.5771,0.293,FCC
3,11.9774,0.0242,61.7,19.256,0.0304,0.0585,0.5273,0.3067,FCC
2,12.047,0.0228,65.82,20.56,0.0302,0.057,0.5351,0.327,FCC
3,11.1762,0.0369,78.805,22.87,0.0499,0.0567,0.5933,0.3629,FCC
3,11.7933,0.0371,49.4,13.224,0.0538,0.0705,0.4871,0.2453,FCC
4,12.047,0.0311,58.35,20.248,0.0479,0.0657,0.4605,0.3224,FCC
4,11.8937,0.0258,159.295,6.959,0.0829,0.0836,0.7483,0.1712,FCC
4,12.0349,0.0265,158.42,9.27,0.0813,0.0782,0.7396,0.1882,FCC
1,12.9821,0.0288,152.07,12.621,0.0835,0.084,0.699,0.2568,FCC
1,12.8287,0.0315,165.76,14.245,0.0862,0.0871,0.6949,0.2694,FCC
1,12.0349,0.0275,80.595,22.135,0.0345,0.0501,0.5868,0.3699,FCC
1,12.6521,0.048,63.795,20.328,0.0673,0.0549,0.6352,0.391,BCC+FCC
1,12.8408,0.0459,67.6,20.604,0.067,0.0569,0.6195,0.3969,BCC+FCC
1,12.2933,0.0269,75.9,20.88,0.0428,0.0574,0.6181,0.3472,FCC
3,12.2237,0.0296,80.8,19.106,0.0359,0.0552,0.6206,0.3351,FCC
3,11.3007,0.0287,73.24,20.595,0.0359,0.0579,0.5056,0.3345,FCC
3,11.5758,0.0302,71.04,19.076,0.0353,0.0556,0.4914,0.3376,FCC
4,12.482,0.0357,71.525,18.7275,0.0474,0.0595,0.6286,0.2985,FCC
3,11.5758,0.033,75.84,18.948,0.0474,0.0573,0.6205,0.2987,FCC
3,10.9586,0.0321,77.55,19.362,0.0473,0.0559,0.587,0.3061,FCC
4,12.0108,0.0334,77.04,19.105,0.0467,0.0567,0.5441,0.3276,FCC
4,11.9058,0.0292,55.5,17.035,0.0337,0.0617,0.5181,0.2609,FCC
2,12.377,0.0274,73.28,18.9255,0.033,0.0569,0.6553,0.3121,FCC
4,12.8408,0.0318,73.2,17.27,0.0432,0.0592,0.6059,0.318,FCC
4,12.0349,0.0241,77,19.5465,0.0328,0.0555,0.5913,0.3257,FCC
4,11.1762,0.0217,81.6,19.9505,0.0325,0.0517,0.584,0.3335,FCC
1,12.8408,0.034,167.36,13.5475,0.0865,0.089,0.8152,0.2214,FCC
1,11.8937,0.0327,154.595,18.03,0.0901,0.0851,0.6382,0.2981,FCC
1,11.6353,0.0313,150.465,18.46,0.0909,0.0903,0.6134,0.3062,FCC
3,10.4995,0.0194,77.395,19.77,0.0399,0.0597,0.5079,0.3231,FCC
4,10.9586,0.0329,76.9,22.2565,0.0466,0.0545,0.5024,0.3642,FCC
1,11.9774,0.0337,151.115,11.85,0.0865,0.0923,0.8189,0.2291,FCC
1,12.1233,0.044,92.58,19.425,0.0827,0.0829,0.8928,0.3315,BCC+FCC
1,13.0871,0.0442,122.33,22.0245,0.0874,0.0853,0.8187,0.367,BCC+FCC
4,11.4299,0.0354,64.88,19.592,0.0457,0.0648,0.5241,0.3038,FCC
4,10.9586,0.0318,66.26,13.264,0.0518,0.0729,0.6842,0.2254,FCC
