Pm,e/a,EWF,ad-e/n,δ-e/n,δ-ρ,δ-Ec,δ-G,δ-υ,Phase
1,1.6274,4.7506,0.0388,0.1425,0.1272,0.0866,0.377,0.2051,FCC
1,2.8529,4.3397,0.0169,0.1228,0.5348,0.085,0.5307,0.0787,BCC
3,1.6977,4.2698,0.042,0.2924,0.2546,0.1693,0.6525,0.0853,BCC
1,1.7534,4.6562,0.0573,0.2519,0.105,0.2639,0.3238,0.2104,IM
1,1.5479,4.6986,0.0654,0.2876,0.0941,0.2527,0.4258,0.2484,IM
1,1.7692,4.7202,0.0423,0.1584,0.2298,0.0922,0.4096,0.2026,BCC+FCC
1,1.6,4.408,0.0633,0.3467,0.328,0.2958,0.5657,0.1951,IM
1,1.6667,4.4289,0.0712,0.4077,0.5145,0.3233,0.5772,0.1892,IM
3,1.9,4.6925,0.0297,0.1387,0.105,0.0711,0.2454,0.1567,FCC
3,1.75,4.2445,0.0374,0.3023,0.4882,0.2013,0.4794,0.0556,BCC
1,1.8,4.166,0.0371,0.4232,0.4508,0.1702,0.4897,0.0696,BCC
3,1.8889,4.5311,0.0367,0.1472,0.2381,0.1521,0.2833,0.1588,IM
3,1.85,4.7038,0.0317,0.1206,0.0805,0.104,0.1355,0.1216,BCC
3,1.6667,4.2844,0.0406,0.2872,0.2654,0.1666,0.7058,0.0967,BCC
1,2,4.5862,0.0605,0.232,0.3966,0.1282,0.551,0.181,BCC
1,1.9091,4.6509,0.0575,0.2425,0.3076,0.2384,0.4579,0.2049,IM
1,1.3671,4.3918,0.0289,0.2851,0.3102,0.0789,0.4593,0.1149,BCC
3,1.8077,4.6365,0.0512,0.1879,0.3183,0.1076,0.4103,0.1588,IM
4,1.8333,4.8,0.0304,0.1154,0.0798,0.0276,0.2667,0.189,FCC
3,1.9091,4.1764,0.0461,0.4769,0.5119,0.2249,0.4791,0.0775,BCC
3,1.875,4.1387,0.0403,0.4418,0.4664,0.168,0.4884,0.0612,BCC
1,1.8511,4.7128,0.0477,0.1948,0.2393,0.1716,0.4066,0.2163,IM
3,1.7143,4.2829,0.0356,0.3851,0.4437,0.1767,0.7571,0.1385,IM
1,1.5122,4.5622,0.0778,0.4008,0.2985,0.2683,0.5371,0.2355,IM
4,1.192,4.4344,0.0847,0.5476,0.0262,0.2248,0.2939,0.0866,IM
3,1.75,4.37,0.047,0.3621,0.5012,0.2047,0.5536,0.1107,BCC
4,1.3333,4.5333,0.1098,0.5068,0.0344,0.2841,0.333,0.1093,IM
3,2,4.6451,0.0551,0.2251,0.3726,0.2017,0.4852,0.1886,IM
1,1.8701,4.6338,0.0551,0.2349,0.2756,0.2104,0.387,0.1706,IM
1,2,4.6536,0.0516,0.1978,0.3365,0.1006,0.4959,0.2096,BCC+FCC
3,1.75,4.245,0.0443,0.3007,0.2261,0.1735,0.3731,0.0594,BCC
3,1.9091,4.3545,0.038,0.2314,0.4599,0.2864,0.6895,0.1047,BCC
2,1.75,4.3575,0.0386,0.3906,0.4888,0.2069,0.7074,0.1369,BCC
4,1.7674,4.7556,0.0415,0.1676,0.147,0.0433,0.3844,0.2323,FCC
1,1.8696,4.6748,0.0593,0.2478,0.3172,0.2185,0.4453,0.1928,IM
3,1.93,4.5069,0.0293,0.1216,0.1656,0.1625,0.2003,0.1313,FCC
3,2,4.6039,0.0584,0.2375,0.3522,0.1062,0.5683,0.2084,IM
1,2.0667,4.292,0.0514,0.2725,0.4055,0.3705,0.5285,0.1876,BCC+FCC
1,1.7143,4.7643,0.0425,0.1852,0.0852,0.1587,0.3457,0.229,IM
3,1.5556,4.2733,0.0308,0.299,0.3376,0.1472,0.8185,0.1177,BCC
1,1.939,4.6122,0.055,0.2337,0.3216,0.2156,0.4206,0.1662,IM
3,1.575,4.2975,0.0313,0.2596,0.2836,0.1636,0.7969,0.11,BCC
3,2,4.2876,0.0388,0.2505,0.3815,0.276,0.3072,0.0769,IM
3,2.13,4.4364,0.0292,0.1248,0.2521,0.1817,0.2349,0.1213,IM
3,1.7101,4.2616,0.0359,0.363,0.5127,0.1985,0.4721,0.0777,BCC
3,1.5,4.345,0.0603,0.4349,0.4915,0.278,0.5553,0.2289,BCC
4,1.7726,4.8545,0.0304,0.1158,0.0839,0.0287,0.4799,0.2397,IM
1,1.6977,4.7744,0.0453,0.1923,0.103,0.1459,0.3343,0.2214,IM
1,2,4.5931,0.0547,0.2322,0.3584,0.2194,0.4488,0.1621,IM
3,2.25,4.7325,0.0382,0.1545,0.3618,0.1038,0.4116,0.133,BCC
3,2,4.6217,0.05,0.1869,0.3062,0.1308,0.4411,0.191,BCC
1,1.6977,4.7535,0.0473,0.2069,0.0844,0.1858,0.3529,0.2286,IM
1,2,4.6033,0.0573,0.2144,0.3936,0.1228,0.5268,0.1791,BCC
3,1.25,4.6,0.0796,0.4018,0.1238,0.2626,0.4918,0.2406,IM
4,1.875,4.2363,0.0448,0.3674,0.5493,0.2514,0.4745,0.0793,IM
3,2,4.1519,0.0475,0.4359,0.5369,0.1753,0.5352,0.0624,BCC
3,1.8571,4.2686,0.0406,0.2573,0.1762,0.1502,0.3075,0.0669,IM
1,1.5625,4.4013,0.0636,0.3578,0.3173,0.2946,0.5687,0.1919,IM
3,1.8,4.6053,0.0576,0.2125,0.2285,0.1461,0.4049,0.1732,BCC
3,1.6667,4.3883,0.0451,0.3876,0.4952,0.2094,0.6144,0.13,BCC
3,1.8182,4.6873,0.0515,0.1989,0.2632,0.0965,0.4621,0.21,BCC+FCC
4,1.5556,4.8444,0.0505,0.1673,0.1042,0.0384,0.2551,0.2349,FCC
3,1.8371,4.4671,0.0296,0.1236,0.1866,0.1492,0.2458,0.151,BCC+FCC
3,1.6,4.565,0.0399,0.1525,0.0895,0.1421,0.2309,0.174,BCC+FCC
4,2,4.8833,0.0167,0.0606,0.055,0.0153,0.2894,0.1538,FCC
3,1.697,4.2333,0.0377,0.286,0.2453,0.1777,0.3648,0.0444,BCC
3,1.9583,4.5154,0.0375,0.1531,0.2876,0.1516,0.3291,0.1625,IM
3,1.8,4.6455,0.0319,0.1217,0.0869,0.1402,0.3127,0.2378,FCC
1,1.8,4.362,0.0372,0.2333,0.4222,0.2642,0.6797,0.1078,BCC
3,1.4792,4.3479,0.0261,0.2368,0.2843,0.1508,0.7486,0.1347,BCC
3,1.4,4.446,0.0624,0.3432,0.2451,0.2547,0.5135,0.2252,IM
1,1.6923,4.6608,0.064,0.2466,0.2326,0.0989,0.5121,0.208,FCC
3,1.8887,4.4588,0.0306,0.1287,0.2308,0.1489,0.2839,0.1558,BCC
2,1.8265,4.6036,0.0404,0.1574,0.1189,0.1628,0.3192,0.2216,IM
3,1.7762,4.6417,0.0541,0.1993,0.2289,0.1383,0.4098,0.1819,BCC
1,2,4.5883,0.0396,0.1515,0.2927,0.1448,0.4011,0.213,BCC
1,1.5172,4.6879,0.0787,0.3472,0.1113,0.2582,0.3873,0.2079,IM
1,1.4334,4.4084,0.0293,0.2894,0.3245,0.0904,0.4719,0.1225,BCC
1,1.6154,4.7769,0.042,0.1512,0.0968,0.0348,0.2844,0.238,BCC
3,1.3333,4.57,0.0737,0.3876,0.2025,0.2565,0.5584,0.2333,IM
1,1.9495,4.3343,0.0128,0.1238,0.2025,0.1238,0.3897,0.1045,BCC
3,1.7368,4.7028,0.0468,0.1779,0.2373,0.1006,0.4336,0.1994,FCC
3,2,4.2336,0.0502,0.3241,0.3302,0.2435,0.3629,0.081,IM
3,1.5,4.42,0.0573,0.4022,0.5718,0.3078,0.6464,0.2495,BCC
1,1.6522,4.763,0.0557,0.2345,0.1125,0.185,0.3345,0.2143,IM
3,1.5294,4.4194,0.0315,0.3195,0.3675,0.1329,0.5069,0.1343,BCC
3,1.7222,4.4278,0.0568,0.336,0.4703,0.2978,0.3693,0.1952,IM
3,1.7692,4.6523,0.0527,0.1947,0.2286,0.1349,0.4107,0.1843,IM
3,1.8,4.71,0.0732,0.2941,0.1622,0.19,0.3874,0.1325,IM
4,1.8889,5.0111,0.02,0.0955,0.0611,0.0232,0.3858,0.1944,FCC
1,1.6667,4.7722,0.0361,0.1349,0.0858,0.0673,0.352,0.2175,FCC
1,2,4.6431,0.0358,0.1427,0.2797,0.0825,0.3822,0.1846,BCC
1,1.5,4.6625,0.0387,0.147,0.0878,0.0855,0.4171,0.23,FCC
1,1.6667,4.6883,0.0571,0.2232,0.2039,0.0966,0.4744,0.21,IM
2,1.5455,4.3418,0.0347,0.2647,0.2811,0.1543,0.7158,0.1269,BCC
1,1.8462,4.7354,0.058,0.2215,0.2064,0.0719,0.4274,0.2061,IM
3,1.6364,4.2055,0.0375,0.3869,0.3516,0.133,0.8173,0.1064,BCC
3,1.83,4.7939,0.0407,0.1493,0.2116,0.0829,0.3652,0.1908,FCC
1,1.6,4.7,0.1018,0.4836,0.4209,0.3353,0.5113,0.2262,BCC+FCC
