Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
1,0.757,2.8529,4.3397,35.1648,0.0169,10.5261,0.1228,0.5348,BCC
3,27.5069,1.6977,4.2698,39.7698,0.042,17.0416,0.2924,0.2546,BCC
1,2.6194,1.7534,4.6562,73.7849,0.0573,19.5823,0.2519,0.105,IM
1,2.4734,1.5479,4.6986,74.5822,0.0654,28.8205,0.2876,0.0941,IM
1,7.9131,1.7692,4.7202,70.6366,0.0423,25.8809,0.1584,0.2298,BCC+FCC
1,2.2363,1.6,4.408,66.0199,0.0633,34.5013,0.3467,0.328,IM
1,2.9436,1.6667,4.4289,76.9888,0.0712,38.5012,0.4077,0.5145,IM
3,3.9474,1.9,4.6925,77.955,0.0297,13.122,0.1387,0.105,FCC
3,11.8383,1.75,4.2445,31.405,0.0374,12.3865,0.3023,0.4882,BCC
1,13.2447,1.8,4.166,36.48,0.0371,14.896,0.4232,0.4508,BCC
3,2.5658,1.8889,4.5311,82.6222,0.0367,14.4247,0.1472,0.2381,IM
3,5.0763,1.85,4.7038,86.7375,0.0317,8.3287,0.1206,0.0805,BCC
3,19.5217,1.6667,4.2844,43.5,0.0406,20.6667,0.2872,0.2654,BCC
1,1.5694,2,4.5862,56.075,0.0605,27.7438,0.232,0.3966,BCC
1,1.6989,1.9091,4.6509,67.1545,0.0575,28.2677,0.2425,0.3076,IM
1,6.1119,1.3671,4.3918,81.9684,0.0289,34.0106,0.2851,0.3102,BCC
3,4.3373,1.8077,4.6365,71.6038,0.0512,25.6568,0.1879,0.3183,IM
4,6.5228,1.8333,4.8,80.7167,0.0304,13.4389,0.1154,0.0798,FCC
3,4.7407,1.9091,4.1764,35.8182,0.0461,14.0231,0.4769,0.5119,BCC
3,15.9145,1.875,4.1387,31.825,0.0403,11.6375,0.4418,0.4664,BCC
1,2.3642,1.8511,4.7128,72.8553,0.0477,25.8017,0.1948,0.2393,IM
3,12.6895,1.7143,4.2829,66.1571,0.0356,43.2367,0.3851,0.4437,IM
1,1.3928,1.5122,4.5622,65.6121,0.0778,32.5972,0.4008,0.2985,IM
4,1.6631,1.192,4.4344,46.731,0.0847,9.1896,0.5476,0.0262,IM
3,12.4681,1.75,4.37,66.5,0.047,29.9,0.3621,0.5012,BCC
4,1.7269,1.3333,4.5333,50.8778,0.1098,13.9877,0.5068,0.0344,IM
3,2.0268,2,4.6451,70.8736,0.0551,30.992,0.2251,0.3726,IM
1,3.3324,1.8701,4.6338,79.3571,0.0551,23.1466,0.2349,0.2756,IM
1,1.4973,2,4.6536,65.5363,0.0516,30.033,0.1978,0.3365,BCC+FCC
3,209.8582,1.75,4.245,33.475,0.0443,12.025,0.3007,0.2261,BCC
3,1.83,1.9091,4.3545,51.2364,0.038,26.3504,0.2314,0.4599,BCC
2,7.6972,1.75,4.3575,72.625,0.0386,42.1875,0.3906,0.4888,BCC
4,2.8762,1.7674,4.7556,75.9512,0.0415,23.8821,0.1676,0.147,FCC
1,2.6405,1.8696,4.6748,76.7957,0.0593,29.2144,0.2478,0.3172,IM
3,3.7476,1.93,4.5069,82.2038,0.0293,8.1529,0.1216,0.1656,FCC
3,1.1543,2,4.6039,59.0426,0.0584,31.4105,0.2375,0.3522,IM
1,1.398,2.0667,4.292,56.2867,0.0514,27.2925,0.2725,0.4055,BCC+FCC
1,3.6783,1.7143,4.7643,78.0523,0.0425,21.449,0.1852,0.0852,IM
3,17.3552,1.5556,4.2733,49.4111,0.0308,33.0173,0.299,0.3376,BCC
1,2.7453,1.939,4.6122,76.2987,0.055,25.9871,0.2337,0.3216,IM
3,18.1463,1.575,4.2975,46.39,0.0313,27.585,0.2596,0.2836,BCC
3,1.53,2,4.2876,34.9176,0.0388,9.9599,0.2505,0.3815,IM
3,1.7754,2.13,4.4364,73.677,0.0292,11.564,0.1248,0.2521,IM
3,14.1151,1.7101,4.2616,41.2522,0.0359,16.1437,0.363,0.5127,BCC
3,7.1001,1.5,4.345,62,0.0603,29.8,0.4349,0.4915,BCC
4,5.1889,1.7726,4.8545,64.8826,0.0304,28.9222,0.1158,0.0839,IM
1,6.2016,1.6977,4.7744,82.9557,0.0453,20.4705,0.1923,0.103,IM
