Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Phase,Preparation method,Reference
8.571428571,22.85714286,22.85714286,0,22.85714286,22.85714286,0,0,0,0,0,0,0,0,0,FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
8.571428571,22.85714286,22.85714286,0,22.85714286,22.85714286,0,0,0,0,0,0,0,0,0,FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
11.11111111,22.22222222,22.22222222,0,22.22222222,22.22222222,0,0,0,0,0,0,0,0,0,BCC+FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
11.11111111,22.22222222,22.22222222,0,22.22222222,22.22222222,0,0,0,0,0,0,0,0,0,BCC+FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
15.78947368,21.05263158,21.05263158,0,21.05263158,21.05263158,0,0,0,0,0,0,0,0,0,BCC+FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
15.78947368,21.05263158,21.05263158,0,21.05263158,21.05263158,0,0,0,0,0,0,0,0,0,BCC+FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
17.94871795,20.51282051,20.51282051,0,20.51282051,20.51282051,0,0,0,0,0,0,0,0,0,BCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
17.94871795,20.51282051,20.51282051,0,20.51282051,20.51282051,0,0,0,0,0,0,0,0,0,BCC+FCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
23.80952381,19.04761905,19.04761905,0,19.04761905,19.04761905,0,0,0,0,0,0,0,0,0,BCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
23.80952381,19.04761905,19.04761905,0,19.04761905,19.04761905,0,0,0,0,0,0,0,0,0,BCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
27.26281352,18.18429662,18.18429662,0,18.18429662,18.18429662,0,0,0,0,0,0,0,0,0,BCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
27.26281352,18.18429662,18.18429662,0,18.18429662,18.18429662,0,0,0,0,0,0,0,0,0,BCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
33.33333333,16.66666667,16.66666667,0,16.66666667,16.66666667,0,0,0,0,0,0,0,0,0,BCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
33.33333333,16.66666667,16.66666667,0,16.66666667,16.66666667,0,0,0,0,0,0,0,0,0,BCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,BCC,ANNEAL,"Borg C K H , Frey C , Moh J ,et al.Expanded dataset of mechanical properties and observed s of multi-principal element alloys[J].Scientific Data, 2020, 7(1).DOI:10.1038/s41597-020-00768-9."
